TimeDim,Level,Region,MCV1_Coverage,MCV2_Coverage,Coverage_Gap,Measles_Cases
2000,Global,Global,80.6930693069307,25.386138613861387,55.306930693069305,3412374.0
2001,Global,Global,81.85148514851485,33.163366336633665,48.68811881188119,3394581.0
2002,Global,Global,82.26600985221675,37.32512315270936,44.940886699507395,2340160.0
2003,Global,Global,83.12807881773399,39.73399014778325,43.39408866995074,2719265.0
2004,Global,Global,83.92610837438424,43.13300492610838,40.793103448275865,2053555.0
2005,Global,Global,84.77339901477832,46.95566502463054,37.81773399014778,2342447.0
2006,Global,Global,85.65196078431373,48.431372549019606,37.22058823529412,1508769.0
2007,Global,Global,86.16176470588235,50.81372549019608,35.34803921568627,1138821.0
2008,Global,Global,86.7156862745098,52.90196078431372,33.813725490196084,1111639.0
2009,Global,Global,87.15196078431373,54.14705882352941,33.004901960784316,1113416.0
2010,Global,Global,87.52941176470588,55.15686274509804,32.372549019607845,1371017.0
2011,Global,Global,87.98536585365854,57.18536585365854,30.799999999999997,1434103.0
2012,Global,Global,88.32682926829268,59.082926829268295,29.24390243902439,845174.0
2013,Global,Global,88.29268292682927,61.82439024390244,26.46829268292683,1095993.0
2014,Global,Global,87.66341463414633,64.4829268292683,23.18048780487804,1115673.0
2015,Global,Global,87.44390243902438,67.33170731707317,20.112195121951217,841523.0
2016,Global,Global,87.07317073170732,69.5609756097561,17.512195121951223,525399.0
2017,Global,Global,87.13658536585366,70.93170731707318,16.204878048780486,691325.0
2018,Global,Global,87.18048780487806,72.59024390243903,14.590243902439028,1429801.0
2019,Global,Global,87.51219512195122,73.78536585365853,13.72682926829269,3489660.0
2020,Global,Global,84.8390243902439,72.6829268292683,12.15609756097561,637012.0
2021,Global,Global,83.34634146341463,71.77560975609757,11.570731707317066,490679.0
2022,Global,Global,84.25365853658536,73.81951219512194,10.434146341463418,817814.0
2023,Global,Global,85.32682926829268,75.57560975609756,9.75121951219512,2652310.0
2024,Global,Global,85.87317073170732,77.45365853658537,8.419512195121953,2671114.0
