TimeDim,Level,Region,MCV1_Coverage,MCV2_Coverage,Coverage_Gap,Measles_Cases
1980,Regional,AFR,,,,1240993.0
1980,Regional,AMR,,,,257790.0
1980,Regional,EMR,,,,341624.0
1980,Regional,EUR,,,,492660.0
1980,Regional,SEAR,,,,199535.0
1980,Regional,WPR,,,,1319640.0
1981,Regional,AFR,,,,1413184.0
1981,Regional,AMR,,,,252378.0
1981,Regional,EMR,,,,453409.0
1981,Regional,EUR,,,,460966.0
1981,Regional,SEAR,,,,305787.0
1981,Regional,WPR,,,,1192731.0
1982,Regional,AFR,,,,1342685.0
1982,Regional,AMR,,,,153746.0
1982,Regional,EMR,,,,331721.0
1982,Regional,EUR,,,,434521.0
1982,Regional,SEAR,,,,258666.0
1982,Regional,WPR,,,,1102419.0
1983,Regional,AFR,,,,1346883.0
1983,Regional,AMR,,,,137410.0
1983,Regional,EMR,,,,302254.0
1983,Regional,EUR,,,,597455.0
1983,Regional,SEAR,,,,208154.0
1983,Regional,WPR,,,,993945.0
1984,Regional,AFR,,,,1076106.0
1984,Regional,AMR,,,,202758.0
1984,Regional,EMR,,,,218335.0
1984,Regional,EUR,,,,336329.0
1984,Regional,SEAR,,,,302042.0
1984,Regional,WPR,,,,891403.0
1985,Regional,AFR,,,,1142002.0
1985,Regional,AMR,,,,199744.0
1985,Regional,EMR,,,,229781.0
1985,Regional,EUR,,,,373610.0
1985,Regional,SEAR,,,,244113.0
1985,Regional,WPR,,,,630303.0
1986,Regional,AFR,,,,676757.0
1986,Regional,AMR,,,,227452.0
1986,Regional,EMR,,,,171208.0
1986,Regional,EUR,,,,422573.0
1986,Regional,SEAR,,,,201190.0
1986,Regional,WPR,,,,379516.0
1987,Regional,AFR,,,,641057.0
1987,Regional,AMR,,,,151396.0
1987,Regional,EMR,,,,171164.0
1987,Regional,EUR,,,,145003.0
1987,Regional,SEAR,,,,319049.0
1987,Regional,WPR,,,,255178.0
1988,Regional,AFR,,,,604244.0
1988,Regional,AMR,,,,133244.0
1988,Regional,EMR,,,,126977.0
1988,Regional,EUR,,,,289609.0
1988,Regional,SEAR,,,,292916.0
1988,Regional,WPR,,,,216950.0
1989,Regional,AFR,,,,561896.0
1989,Regional,AMR,,,,137417.0
1989,Regional,EMR,,,,83776.0
1989,Regional,EUR,,,,374023.0
1989,Regional,SEAR,,,,443014.0
1989,Regional,WPR,,,,222264.0
1990,Regional,AFR,,,,481204.0
1990,Regional,AMR,,,,218579.0
1990,Regional,EMR,,,,59058.0
1990,Regional,EUR,,,,185818.0
1990,Regional,SEAR,,,,224925.0
1990,Regional,WPR,,,,155490.0
1991,Regional,AFR,,,,446517.0
1991,Regional,AMR,,,,157602.0
1991,Regional,EMR,,,,64177.0
1991,Regional,EUR,,,,304166.0
1991,Regional,SEAR,,,,211085.0
1991,Regional,WPR,,,,186696.0
1992,Regional,AFR,,,,581125.0
1992,Regional,AMR,,,,100741.0
1992,Regional,EMR,,,,89758.0
1992,Regional,EUR,,,,330546.0
1992,Regional,SEAR,,,,168772.0
1992,Regional,WPR,,,,210250.0
1993,Regional,AFR,,,,395025.0
1993,Regional,AMR,,,,57400.0
1993,Regional,EMR,,,,50758.0
1993,Regional,EUR,,,,341982.0
1993,Regional,SEAR,,,,141301.0
1993,Regional,WPR,,,,157479.0
1994,Regional,AFR,,,,420193.0
1994,Regional,AMR,,,,23784.0
1994,Regional,EMR,,,,24578.0
1994,Regional,EUR,,,,190910.0
1994,Regional,SEAR,,,,152106.0
1994,Regional,WPR,,,,115237.0
1995,Regional,AFR,,,,362925.0
1995,Regional,AMR,,,,6478.0
1995,Regional,EMR,,,,20607.0
1995,Regional,EUR,,,,154107.0
1995,Regional,SEAR,,,,100900.0
1995,Regional,WPR,,,,75374.0
1996,Regional,AFR,,,,484914.0
1996,Regional,AMR,,,,1910.0
1996,Regional,EMR,,,,20249.0
1996,Regional,EUR,,,,178345.0
1996,Regional,SEAR,,,,102205.0
1996,Regional,WPR,,,,82595.0
1997,Regional,AFR,,,,299623.0
1997,Regional,AMR,,,,53567.0
1997,Regional,EMR,,,,33085.0
1997,Regional,EUR,,,,215767.0
1997,Regional,SEAR,,,,115844.0
1997,Regional,WPR,,,,107787.0
1998,Regional,AFR,,,,373149.0
1998,Regional,AMR,,,,14330.0
1998,Regional,EMR,,,,89478.0
1998,Regional,EUR,,,,77872.0
1998,Regional,SEAR,,,,62759.0
1998,Regional,WPR,,,,76878.0
1999,Regional,AFR,,,,486660.0
1999,Regional,AMR,,,,3209.0
1999,Regional,EMR,,,,71562.0
1999,Regional,EUR,,,,38811.0
1999,Regional,SEAR,,,,47741.0
1999,Regional,WPR,,,,104424.0
2000,Regional,AFR,50.0,5.0,45.0,520102.0
2000,Regional,AMR,93.0,65.0,28.0,1754.0
2000,Regional,EMR,70.0,27.0,43.0,38592.0
2000,Regional,EUR,91.0,48.0,43.0,37421.0
2000,Regional,SEAR,63.0,3.0,60.0,78558.0
