Year,Rank_1_Factor,Rank_1_Loading,Rank_2_Factor,Rank_2_Loading,Rank_3_Factor,Rank_3_Loading
2015,"Current health expenditure per capita, PPP (current international $)",0.4301391738983149,"GDP per capita, PPP (constant 2021 international $)",0.42746970346036933,Birth Rate,-0.4043148484321346
2016,"GDP per capita, PPP (constant 2021 international $)",0.4323587104510027,"Current health expenditure per capita, PPP (current international $)",0.42813244926687355,Birth Rate,-0.40675797454727364
2017,"GDP per capita, PPP (constant 2021 international $)",0.4334602244962235,"Current health expenditure per capita, PPP (current international $)",0.4301196886674221,Birth Rate,-0.40464513364501103
2018,"GDP per capita, PPP (constant 2021 international $)",0.43627788612847046,"Current health expenditure per capita, PPP (current international $)",0.43237836912133987,Birth Rate,-0.4076259303737413
2019,"GDP per capita, PPP (constant 2021 international $)",0.4386600409472858,"Current health expenditure per capita, PPP (current international $)",0.4348894879367873,Birth Rate,-0.40890092664808997
2020,"GDP per capita, PPP (constant 2021 international $)",0.418989004115002,"Current health expenditure per capita, PPP (current international $)",0.4153250399599697,Birth Rate,-0.38947182087860416
2021,"GDP per capita, PPP (constant 2021 international $)",0.4098268203977563,"Current health expenditure per capita, PPP (current international $)",0.4055595350661697,Birth Rate,-0.38692855049095926
2022,"GDP per capita, PPP (constant 2021 international $)",0.441012830163952,"Current health expenditure per capita, PPP (current international $)",0.42866235636412164,Birth Rate,-0.4064923452866049
2023,"GDP per capita, PPP (constant 2021 international $)",0.4419537798906323,Birth Rate,-0.41685423724603055,Average household size (number of members),-0.4050786429455326
2024,"GDP per capita, PPP (constant 2021 international $)",0.5722996372388901,Average household size (number of members),-0.5475793348018132,Urban population (% of total population),0.5402455744024955
