,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.4419537798906323,-0.2470153861191434,0.10324968997524013
"Current health expenditure per capita, PPP (current international $)",0.37657489873860195,-0.34951103185547705,-0.12344953422423909
Share that disagrees vaccines are effective,0.17885491339258874,0.7074934771030456,0.05940633788789944
Urban population (% of total population),0.36051626766937683,0.02603541057236376,-0.03823049470597869
Birth Rate,-0.41685423724603055,-0.28737901688149076,-0.06742893519869093
Net Migration,0.17186985298990337,-0.2981125963662639,-0.6247170786077472
Population Density,0.12420015547311543,-0.33714822924190146,0.7534449548513269
Political Stability Index,0.343636516852597,0.023609156306381152,0.04767076674858383
Average household size (number of members),-0.4050786429455326,-0.1729636802517935,0.0658721391301062
Year,-0.0,-0.0,-0.0
