Entity,Code,Year,Share that disagrees vaccines are effective
Afghanistan,AFG,2015,6
Afghanistan,AFG,2019,9.860788
Albania,ALB,2019,23.26284
Algeria,DZA,2015,8
Argentina,ARG,2015,1
Argentina,ARG,2019,2.010969
Argentina,ARG,2020,5
Argentina,ARG,2022,7
Argentina,ARG,2023,14
Argentina,ARG,2024,9
Armenia,ARM,2015,14
Armenia,ARM,2019,15.897098
Armenia,ARM,2023,27
Australia,AUS,2015,5
Australia,AUS,2022,8
Australia,AUS,2023,14
Austria,AUT,2015,11
Austria,AUT,2019,12.219959
Austria,AUT,2020,11
Austria,AUT,2022,16.5
Austria,AUT,2023,22
Azerbaijan,AZE,2015,13.999999
Azerbaijan,AZE,2019,35.399998
Bangladesh,BGD,2015,5
Belarus,BLR,2022,32
Belarus,BLR,2023,30
Belgium,BEL,2015,5
Belgium,BEL,2020,8
Belgium,BEL,2022,17.5
Belgium,BEL,2023,21
Benin,BEN,2022,19
Benin,BEN,2023,23
Benin,BEN,2024,16
Bosnia and Herzegovina,BIH,2015,26
Bosnia and Herzegovina,BIH,2019,19.8
Bosnia and Herzegovina,BIH,2023,30
Brazil,BRA,2015,5
Brazil,BRA,2020,6
Brazil,BRA,2022,10
Brazil,BRA,2023,12
Brazil,BRA,2024,10
Bulgaria,BGR,2015,7
Bulgaria,BGR,2019,8.0820265
Bulgaria,BGR,2020,13
Bulgaria,BGR,2022,32.100002
Bulgaria,BGR,2023,41
Burkina Faso,BFA,2016,5
Burkina Faso,BFA,2020,9
Burkina Faso,BFA,2021,14.996094
Burkina Faso,BFA,2022,8
Burkina Faso,BFA,2023,10
Cambodia,KHM,2021,9
Cambodia,KHM,2022,4
Cameroon,CMR,2022,23.5121
Cameroon,CMR,2023,32
Canada,CAN,2015,10
Canada,CAN,2022,12
Canada,CAN,2023,16
Chad,TCD,2022,14
Chad,TCD,2023,12
Chad,TCD,2024,11
Chile,CHL,2023,20
China,CHN,2015,12
China,CHN,2021,2
Colombia,COL,2015,6
Colombia,COL,2019,7.5718017
Colombia,COL,2023,19
Colombia,COL,2024,11
Cote d'Ivoire,CIV,2022,19
Cote d'Ivoire,CIV,2023,13.945599
Cote d'Ivoire,CIV,2024,8
Croatia,HRV,2020,9.14
Croatia,HRV,2022,23.7
