Treatment,Method,Estimate,N_Observations,N_Countries
MCV1,linear_regression,-0.02140143423946972,1984,189
MCV1,propensity_stratification,-0.4055176031619017,1984,189
MCV1,propensity_matching,-0.36103018062182374,1984,189
MCV1,refutation_random_common_cause,-0.021400105076576286,1984,189
MCV1,refutation_placebo_treatment,-0.00014393096648890102,1984,189
MCV1,refutation_data_subset,-0.02132045471284557,1984,189
MCV2,linear_regression,-0.0034419973659320924,1984,189
MCV2,refutation_random_common_cause,-0.0034352892691194947,1984,189
MCV2,refutation_placebo_treatment,-0.00016108266061760858,1984,189
VaccineHesitancy,linear_regression,0.007340057380512466,1984,189
VaccineHesitancy,refutation_random_common_cause,0.007311027468803322,1984,189
VaccineHesitancy,refutation_placebo_treatment,0.0005949301150884345,1984,189
