Year,Total_Observations,MCV1_imputed_pct,MCV2_imputed_pct,GDPpc_imputed_pct,HealthExpPC_imputed_pct,PolStability_imputed_pct,BirthRate_imputed_pct,PopDensity_imputed_pct,NetMigration_imputed_pct,UrbanPop_imputed_pct,HouseholdSize_imputed_pct,VaccineHesitancy_imputed_pct
2012,150,0.6666666666666666,32.666666666666664,5.333333333333333,3.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,19.333333333333332,100.0
2013,148,0.6756756756756757,29.054054054054053,4.054054054054054,2.7027027027027026,1.3513513513513513,1.3513513513513513,1.3513513513513513,2.027027027027027,1.3513513513513513,19.594594594594593,100.0
2014,154,0.6493506493506493,24.675324675324674,4.545454545454546,2.5974025974025974,1.2987012987012987,1.2987012987012987,1.2987012987012987,1.948051948051948,1.2987012987012987,16.883116883116884,100.0
2015,176,1.1363636363636365,21.022727272727273,4.545454545454546,2.840909090909091,1.1363636363636365,1.1363636363636365,1.1363636363636365,1.7045454545454546,1.1363636363636365,15.909090909090908,63.63636363636363
2016,179,1.1173184357541899,17.318435754189945,4.4692737430167595,2.793296089385475,1.1173184357541899,1.1173184357541899,1.1173184357541899,1.675977653631285,1.1173184357541899,17.877094972067038,96.64804469273743
2017,182,0.5494505494505495,15.384615384615385,4.395604395604396,2.197802197802198,1.098901098901099,1.098901098901099,1.098901098901099,1.6483516483516483,1.098901098901099,17.032967032967033,100.0
2018,182,0.5494505494505495,12.637362637362637,4.395604395604396,2.197802197802198,1.098901098901099,1.098901098901099,1.098901098901099,1.6483516483516483,1.098901098901099,17.582417582417584,100.0
2019,187,1.0695187165775402,9.090909090909092,4.278074866310161,1.6042780748663101,1.0695187165775402,1.0695187165775402,1.0695187165775402,1.6042780748663101,1.0695187165775402,17.647058823529413,79.67914438502673
2020,176,1.1363636363636365,7.954545454545454,4.545454545454546,1.7045454545454546,1.1363636363636365,1.1363636363636365,1.1363636363636365,1.7045454545454546,1.1363636363636365,16.477272727272727,71.02272727272727
2021,153,1.3071895424836601,6.5359477124183005,5.228758169934641,1.9607843137254901,1.3071895424836601,1.3071895424836601,1.3071895424836601,1.9607843137254901,1.3071895424836601,15.032679738562091,88.88888888888889
2022,168,1.1904761904761905,4.761904761904762,4.761904761904762,2.380952380952381,1.1904761904761905,1.1904761904761905,1.1904761904761905,1.7857142857142858,1.1904761904761905,14.880952380952381,60.11904761904762
2023,176,0.5681818181818182,2.840909090909091,4.545454545454546,89.77272727272727,1.1363636363636365,1.1363636363636365,1.1363636363636365,1.7045454545454546,1.1363636363636365,16.477272727272727,54.54545454545455
