Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
YEM,Yemen,2024,0,591.13,447.7935897234303,-143.33641027656972,-24.247865998434435,1,Low income,HealthExp_1pct
LBR,Liberia,2024,0,399.98,302.9151091944354,-97.06489080556464,-24.267436073188748,1,Low income,HealthExp_1pct
BFA,Burkina Faso,2024,0,309.57,234.3905817310485,-75.17941826895148,-24.285111047235585,1,Low income,HealthExp_1pct
SSD,South Sudan,2024,0,257.55,194.96301930824788,-62.58698069175213,-24.30090494728318,1,Low income,HealthExp_1pct
AFG,Afghanistan,2024,0,229.06,173.36956960764084,-55.69043039235916,-24.31259512456773,1,Low income,HealthExp_1pct
BDI,Burundi,2024,0,186.22,140.8998123182757,-45.32018768172429,-24.33690671340348,1,Low income,HealthExp_1pct
SOM,Somalia,2024,0,79.75,60.20291552558893,-19.547084474411072,-24.510450751581896,1,Low income,HealthExp_1pct
NER,Niger,2024,0,62.63,47.22713950332167,-15.40286049667833,-24.593422475896112,1,Low income,HealthExp_1pct
TCD,Chad,2024,0,57.05,42.99788540260607,-14.052114597393924,-24.63122628811445,1,Low income,HealthExp_1pct
COD,Democratic Republic of the Congo,2024,0,46.54,35.032032248749225,-11.507967751250774,-24.72704716636452,1,Low income,HealthExp_1pct
TGO,Togo,2024,0,41.2,30.98468155021492,-10.215318449785084,-24.794462256699727,1,Low income,HealthExp_1pct
SDN,Sudan,2024,0,28.78,21.57118048733176,-7.208819512668242,-25.04801776456982,1,Low income,HealthExp_1pct
GNB,Guinea-Bissau,2024,0,25.44,19.03969147364177,-6.400308526358231,-25.158445465145725,1,Low income,HealthExp_1pct
CAF,Central African Republic,2024,0,22.14,16.538519693648652,-5.601480306351348,-25.300272386296516,1,Low income,HealthExp_1pct
UGA,Uganda,2024,0,21.41,15.985230178680482,-5.424769821319519,-25.33755171085559,1,Low income,HealthExp_1pct
MOZ,Mozambique,2024,0,20.39,15.212140719409884,-5.177859280590118,-25.3941112337652,1,Low income,HealthExp_1pct
MLI,Mali,2024,0,15.12,11.217845179845128,-3.902154820154872,-25.807902249530848,1,Low income,HealthExp_1pct
MWI,Malawi,2024,0,8.31,6.056336142950259,-2.253663857049742,-27.11990200989918,1,Low income,HealthExp_1pct
GMB,Gambia,2024,0,6.88,4.972495038286579,-1.9075049617134208,-27.72536281519907,1,Low income,HealthExp_1pct
SYR,Syrian Arab Republic,2024,0,5.43,3.873495316774453,-1.5565046832255467,-28.66491129276025,1,Low income,HealthExp_1pct
SLE,Sierra Leone,2024,0,5.32,3.790122924108017,-1.5298770758919835,-28.757087892165917,1,Low income,HealthExp_1pct
MDG,Madagascar,2024,0,3.38,2.3197370898090366,-1.0602629101909633,-31.36872515265073,1,Low income,HealthExp_1pct
RWA,Rwanda,2024,0,2.88,1.9407716685979592,-0.9392283314020408,-32.61209483921627,1,Low income,HealthExp_1pct
PRK,Democratic People's Republic of Korea,2024,0,0.0,0.0,0.0,0.0,1,Low income,HealthExp_1pct
