Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
YEM,Yemen,2024,0,591.13,543.9672129358252,-47.16278706417484,-7.978412035282739,1,Low income,MCV1_increase
LBR,Liberia,2024,0,399.98,368.0421918210649,-31.937808178935143,-7.984851287296154,1,Low income,MCV1_increase
BFA,Burkina Faso,2024,0,309.57,284.83329221873447,-24.73670778126552,-7.990666983641029,1,Low income,MCV1_increase
SSD,South Sudan,2024,0,257.55,236.956652938641,-20.593347061359,-7.99586373960435,1,Low income,MCV1_increase
AFG,Afghanistan,2024,0,229.06,210.7358637596743,-18.324136240325718,-7.999710224534059,1,Low income,MCV1_increase
BDI,Burundi,2024,0,186.22,171.30804317606805,-14.911956823931972,-8.007709603653725,1,Low income,MCV1_increase
SOM,Somalia,2024,0,79.75,73.31831260798786,-6.431687392012137,-8.064811776807613,1,Low income,MCV1_increase
NER,Niger,2024,0,62.63,57.56190998447391,-5.068090015526096,-8.092112430972383,1,Low income,MCV1_increase
TCD,Chad,2024,0,57.05,52.42635352190337,-4.623646478096624,-8.104551232407571,1,Low income,MCV1_increase
COD,Democratic Republic of the Congo,2024,0,46.54,42.75346850010828,-3.786531499891716,-8.136079716122861,1,Low income,MCV1_increase
TGO,Togo,2024,0,41.2,37.8387961864655,-3.3612038135345017,-8.158261683316367,1,Low income,MCV1_increase
SDN,Sudan,2024,0,28.78,26.40804147945361,-2.3719585205463893,-8.241690481369519,1,Low income,MCV1_increase
GNB,Guinea-Bissau,2024,0,25.44,23.334070406875544,-2.1059295931244577,-8.278025130173662,1,Low income,MCV1_increase
CAF,Central African Republic,2024,0,22.14,20.29691335911876,-1.8430866408812427,-8.324691241521762,1,Low income,MCV1_increase
UGA,Uganda,2024,0,21.41,19.625057406130136,-1.7849425938698644,-8.336957467825911,1,Low income,MCV1_increase
MOZ,Mozambique,2024,0,20.39,18.68629977318713,-1.7037002268128705,-8.355567566476287,1,Low income,MCV1_increase
MLI,Mali,2024,0,15.12,13.836052002981605,-1.2839479970183962,-8.491719556943814,1,Low income,MCV1_increase
MWI,Malawi,2024,0,8.31,7.568464277156251,-0.7415357228437491,-8.923414233872752,1,Low income,MCV1_increase
GMB,Gambia,2024,0,6.88,6.252362889794981,-0.6276371102050193,-9.122632415638034,1,Low income,MCV1_increase
SYR,Syrian Arab Republic,2024,0,5.43,4.91785449002306,-0.5121455099769401,-9.431777347467923,1,Low income,MCV1_increase
SLE,Sierra Leone,2024,0,5.32,4.816615921764502,-0.5033840782354986,-9.462106733572114,1,Low income,MCV1_increase
MDG,Madagascar,2024,0,3.38,3.031135717931727,-0.348864282068273,-10.321428463253008,1,Low income,MCV1_increase
RWA,Rwanda,2024,0,2.88,2.570960407665548,-0.309039592334452,-10.730541400129216,1,Low income,MCV1_increase
PRK,Democratic People's Republic of Korea,2024,0,0.0,0.0,0.0,0.0,1,Low income,MCV1_increase
