Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
YEM,Yemen,2024,0,591.13,587.0462878767099,-4.08371212329007,-0.6908314792498061,1,Low income,PolStability_1sd
LBR,Liberia,2024,0,399.98,397.2145821235254,-2.7654178764746007,-0.6913890385704058,1,Low income,PolStability_1sd
BFA,Burkina Faso,2024,0,309.57,307.42810806051006,-2.1418919394899376,-0.6918926057076739,1,Low income,PolStability_1sd
SSD,South Sudan,2024,0,257.55,255.76687168446668,-1.7831283155333324,-0.6923425802883479,1,Low income,PolStability_1sd
AFG,Afghanistan,2024,0,229.06,227.47335718324672,-1.5866428167532831,-0.6926756381527069,1,Low income,PolStability_1sd
BDI,Burundi,2024,0,186.22,184.92880957944644,-1.291190420553562,-0.6933682851212913,1,Low income,PolStability_1sd
SOM,Somalia,2024,0,79.75,79.19309568176634,-0.5569043182336628,-0.6983126247435292,1,Low income,PolStability_1sd
NER,Niger,2024,0,62.63,62.191166293879775,-0.4388337061202279,-0.7006765226241851,1,Low income,PolStability_1sd
TCD,Chad,2024,0,57.05,56.64964958918313,-0.4003504108168698,-0.7017535684770694,1,Low income,PolStability_1sd
COD,Democratic Republic of the Congo,2024,0,46.54,46.21213335865227,-0.3278666413477324,-0.7044835439343102,1,Low income,PolStability_1sd
TGO,Togo,2024,0,41.2,40.90896145845869,-0.2910385415413188,-0.7064042270403212,1,Low income,PolStability_1sd
SDN,Sudan,2024,0,28.78,28.57461782542416,-0.2053821745758419,-0.7136281256953729,1,Low income,PolStability_1sd
GNB,Guinea-Bissau,2024,0,25.44,25.25765262942293,-0.1823473705770659,-0.7167742554101776,1,Low income,PolStability_1sd
CAF,Central African Republic,2024,0,22.14,21.98041156750554,-0.1595884324944592,-0.7208149615796675,1,Low income,PolStability_1sd
UGA,Uganda,2024,0,21.41,21.255446120475334,-0.1545538795246663,-0.7218770645676997,1,Low income,PolStability_1sd
MOZ,Mozambique,2024,0,20.39,20.242480701337232,-0.1475192986627682,-0.7234884681807002,1,Low income,PolStability_1sd
MLI,Mali,2024,0,15.12,15.008826035790376,-0.1111739642096232,-0.7352775410640737,1,Low income,PolStability_1sd
MWI,Malawi,2024,0,8.31,8.245792208015413,-0.0642077919845878,-0.7726569432468731,1,Low income,PolStability_1sd
GMB,Gambia,2024,0,6.88,6.825654414517879,-0.054345585482121,-0.7899067657170231,1,Low income,PolStability_1sd
SYR,Syrian Arab Republic,2024,0,5.43,5.38565455397842,-0.0443454460215795,-0.8166748806770323,1,Low income,PolStability_1sd
SLE,Sierra Leone,2024,0,5.32,5.276413185247841,-0.0435868147521594,-0.8193010291605285,1,Low income,PolStability_1sd
MDG,Madagascar,2024,0,3.38,3.3497926821812567,-0.0302073178187431,-0.8937076277470263,1,Low income,PolStability_1sd
RWA,Rwanda,2024,0,2.88,2.853241006133168,-0.026758993866832,-0.9291317314549608,1,Low income,PolStability_1sd
PRK,Democratic People's Republic of Korea,2024,0,0.0,0.0,0.0,0.0,1,Low income,PolStability_1sd
