Code,Country,IncomeGroup,HealthExp_1pct,MCV1_95,MCV1_increase,MCV2_95,PolStability_1sd,AvgChange
SSD,South Sudan,Low income,-62.58698069175213,-44.93233977489393,-20.593347061359,31.396077946833543,-1.7831283155333324,-19.69994357934097
BDI,Burundi,Low income,-45.32018768172429,-13.47583851748115,-14.911956823931972,27.602356643329813,-1.291190420553562,-9.479363360072233
BFA,Burkina Faso,Low income,-75.17941826895148,-17.530058683954053,-24.73670778126552,98.3270462779094,-2.1418919394899376,-4.252206079150318
LBR,Liberia,Low income,-97.06489080556464,-41.01355930901326,-31.937808178935143,151.715923504677,-2.7654178764746007,-4.213150533062128
YEM,Yemen,Low income,-143.33641027656972,-213.8921936555361,-47.16278706417484,388.3007616625457,-4.08371212329007,-4.034868291404996
NER,Niger,Low income,-15.40286049667833,-6.9804379824077785,-5.068090015526096,11.41721945982018,-0.4388337061202279,-3.29460054818245
CAF,Central African Republic,Low income,-5.601480306351348,-8.358747844542775,-1.8430866408812427,2.809921654185768,-0.1595884324944592,-2.6305963140168114
TGO,Togo,Low income,-10.215318449785084,-4.629490536816071,-3.3612038135345017,11.359887909127671,-0.2910385415413188,-1.4274326865098608
COD,Democratic Republic of the Congo,Low income,-11.507967751250774,-13.4307307502227,-3.786531499891716,23.62378987491774,-0.3278666413477324,-1.0858613535590365
AFG,Afghanistan,Low income,-55.69043039235916,-64.99524434994177,-18.324136240325718,137.14933807403838,-1.5866428167532831,-0.6894231450683094
GMB,Gambia,Low income,-1.9075049617134208,-0.7470334262171061,-0.6276371102050193,0.916461495681185,-0.054345585482121,-0.48401191758729645
MLI,Mali,Low income,-3.902154820154872,-2.801428416829585,-1.2839479970183962,6.099208656031196,-0.1111739642096232,-0.399899308436256
SYR,Syrian Arab Republic,Low income,-1.5565046832255467,-0.7053939372447235,-0.5121455099769401,1.294089318224107,-0.0443454460215795,-0.30486005164893654
RWA,Rwanda,Low income,-0.9392283314020408,0.064946008275097,-0.309039592334452,0.0718036408552751,-0.026758993866832,-0.22765545369459056
MWI,Malawi,Low income,-2.253663857049742,-0.4522857329739365,-0.7415357228437491,2.506174323080064,-0.0642077919845878,-0.2011037563543902
SLE,Sierra Leone,Low income,-1.5298770758919835,-0.2569139354985532,-0.5033840782354986,1.4124482817780688,-0.0435868147521594,-0.18426272452002515
MDG,Madagascar,Low income,-1.0602629101909633,-1.4636118367020248,-0.348864282068273,2.4840917561287217,-0.0302073178187431,-0.0837709181302565
PRK,Democratic People's Republic of Korea,Low income,0.0,0.0337575066562348,0.0,0.0,0.0,0.0067515013312469604
GNB,Guinea-Bissau,Low income,-6.400308526358231,-5.82794089063179,-2.1059295931244577,15.376938717598538,-0.1823473705770659,0.17208246738139862
MOZ,Mozambique,Low income,-5.177859280590118,-4.714812997375724,-1.7037002268128705,12.75156194646474,-0.1475192986627682,0.201534028604652
TCD,Chad,Low income,-14.052114597393924,-12.418281832693369,-4.623646478096624,32.92272293225399,-0.4003504108168698,0.2856659226506409
SDN,Sudan,Low income,-7.208819512668242,-9.951223857759436,-2.3719585205463893,21.37072814020413,-0.2053821745758419,0.3266688149308436
UGA,Uganda,Low income,-5.424769821319519,-0.9109875466016746,-1.7849425938698644,11.445058106140127,-0.1545538795246663,0.6339608529648807
SOM,Somalia,Low income,-19.547084474411072,-18.319359527535667,-6.431687392012137,63.12883769906264,-0.5569043182336628,3.654760397374021
