Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
KGZ,Kyrgyzstan,2024,0,2005.01,1519.416849207265,-485.5931507927351,-24.21898897226003,1,Lower middle income,HealthExp_1pct
YEM,Yemen,2024,0,591.13,447.7935897234303,-143.33641027656972,-24.247865998434435,1,Low income,HealthExp_1pct
LBR,Liberia,2024,0,399.98,302.9151091944354,-97.06489080556464,-24.267436073188748,1,Low income,HealthExp_1pct
BFA,Burkina Faso,2024,0,309.57,234.3905817310485,-75.17941826895148,-24.285111047235585,1,Low income,HealthExp_1pct
SSD,South Sudan,2024,0,257.55,194.96301930824788,-62.58698069175213,-24.30090494728318,1,Low income,HealthExp_1pct
AFG,Afghanistan,2024,0,229.06,173.36956960764084,-55.69043039235916,-24.31259512456773,1,Low income,HealthExp_1pct
CIV,Côte d'Ivoire,2024,0,207.58,157.08921511241294,-50.49078488758707,-24.32353063279832,1,Lower middle income,HealthExp_1pct
BDI,Burundi,2024,0,186.22,140.8998123182757,-45.32018768172429,-24.33690671340348,1,Low income,HealthExp_1pct
GHA,Ghana,2024,0,121.68,91.9829557483499,-29.697044251650112,-24.405854907647687,1,Lower middle income,HealthExp_1pct
PAK,Pakistan,2024,0,96.56,72.94373298670533,-23.616267013294674,-24.457608754422345,1,Lower middle income,HealthExp_1pct
SOM,Somalia,2024,0,79.75,60.20291552558893,-19.547084474411072,-24.510450751581896,1,Low income,HealthExp_1pct
MRT,Mauritania,2024,0,69.64,52.54023470870101,-17.099765291298986,-24.55451650096845,1,Lower middle income,HealthExp_1pct
NER,Niger,2024,0,62.63,47.22713950332167,-15.40286049667833,-24.593422475896112,1,Low income,HealthExp_1pct
TCD,Chad,2024,0,57.05,42.99788540260607,-14.052114597393924,-24.63122628811445,1,Low income,HealthExp_1pct
BEN,Benin,2024,0,53.86,40.580086015279406,-13.279913984720594,-24.656357194013992,1,Lower middle income,HealthExp_1pct
DJI,Djibouti,2024,0,51.34,38.670100292375565,-12.669899707624438,-24.678417817685546,1,Lower middle income,HealthExp_1pct
NGA,Nigeria,2024,0,47.05,35.418576978384515,-11.631423021615484,-24.721409185102576,1,Lower middle income,HealthExp_1pct
COD,Democratic Republic of the Congo,2024,0,46.54,35.032032248749225,-11.507967751250774,-24.72704716636452,1,Low income,HealthExp_1pct
GIN,Guinea,2024,0,43.04,32.37927430027168,-10.660725699728316,-24.76934409782423,1,Lower middle income,HealthExp_1pct
TGO,Togo,2024,0,41.2,30.98468155021492,-10.215318449785084,-24.794462256699727,1,Low income,HealthExp_1pct
UZB,Uzbekistan,2024,0,40.12,30.166116240398985,-9.953883759601013,-24.810278563250755,1,Lower middle income,HealthExp_1pct
KHM,Cambodia,2024,0,37.76,28.377399452282702,-9.382600547717292,-24.84798873859228,1,Lower middle income,HealthExp_1pct
PHL,Philippines,2024,0,34.56,25.95202075653182,-8.607979243468183,-24.90734734792614,1,Lower middle income,HealthExp_1pct
CMR,Cameroon,2024,0,29.84,22.37458718029924,-7.465412819700759,-25.01813947612514,1,Lower middle income,HealthExp_1pct
SDN,Sudan,2024,0,28.78,21.57118048733176,-7.208819512668242,-25.04801776456982,1,Low income,HealthExp_1pct
COG,Congo,2024,0,28.74,21.540863253634875,-7.199136746365124,-25.04918840062657,1,Lower middle income,HealthExp_1pct
SEN,Senegal,2024,0,28.65,21.47264947781688,-7.177350522183119,-25.05183428327424,1,Lower middle income,HealthExp_1pct
GNB,Guinea-Bissau,2024,0,25.44,19.03969147364177,-6.400308526358231,-25.158445465145725,1,Low income,HealthExp_1pct
KEN,Kenya,2024,0,24.47,18.304498556492277,-6.1655014435077256,-25.196164460492565,1,Lower middle income,HealthExp_1pct
NAM,Namibia,2024,0,24.42,18.266602014371173,-6.153397985628828,-25.198189949236816,1,Lower middle income,HealthExp_1pct
CAF,Central African Republic,2024,0,22.14,16.538519693648652,-5.601480306351348,-25.300272386296516,1,Low income,HealthExp_1pct
UGA,Uganda,2024,0,21.41,15.985230178680482,-5.424769821319519,-25.33755171085559,1,Low income,HealthExp_1pct
