Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
KGZ,Kyrgyzstan,2024,0,2005.01,1845.2325482941144,-159.77745170588582,-7.968910464580119,1,Lower middle income,MCV1_increase
YEM,Yemen,2024,0,591.13,543.9672129358252,-47.16278706417484,-7.978412035282739,1,Low income,MCV1_increase
LBR,Liberia,2024,0,399.98,368.0421918210649,-31.937808178935143,-7.984851287296154,1,Low income,MCV1_increase
BFA,Burkina Faso,2024,0,309.57,284.83329221873447,-24.73670778126552,-7.990666983641029,1,Low income,MCV1_increase
SSD,South Sudan,2024,0,257.55,236.956652938641,-20.593347061359,-7.99586373960435,1,Low income,MCV1_increase
AFG,Afghanistan,2024,0,229.06,210.7358637596743,-18.324136240325718,-7.999710224534059,1,Low income,MCV1_increase
CIV,Côte d'Ivoire,2024,0,207.58,190.9667324306392,-16.6132675693608,-8.00330839645091,1,Lower middle income,MCV1_increase
BDI,Burundi,2024,0,186.22,171.30804317606805,-14.911956823931972,-8.007709603653725,1,Low income,MCV1_increase
GHA,Ghana,2024,0,121.68,111.90861412690968,-9.771385873090324,-8.03039601666855,1,Lower middle income,MCV1_increase
PAK,Pakistan,2024,0,96.56,88.78940653913679,-7.770593460863211,-8.047424876610567,1,Lower middle income,MCV1_increase
SOM,Somalia,2024,0,79.75,73.31831260798786,-6.431687392012137,-8.064811776807613,1,Low income,MCV1_increase
MRT,Mauritania,2024,0,69.64,64.01356783440578,-5.626432165594224,-8.07931097872795,1,Lower middle income,MCV1_increase
NER,Niger,2024,0,62.63,57.56190998447391,-5.068090015526096,-8.092112430972383,1,Low income,MCV1_increase
TCD,Chad,2024,0,57.05,52.42635352190337,-4.623646478096624,-8.104551232407571,1,Low income,MCV1_increase
BEN,Benin,2024,0,53.86,49.49043504240516,-4.369564957594839,-8.112820196039225,1,Lower middle income,MCV1_increase
DJI,Djibouti,2024,0,51.34,47.1711514786636,-4.1688485213364,-8.120078927402181,1,Lower middle income,MCV1_increase
NGA,Nigeria,2024,0,47.05,43.22284731657978,-3.827152683420216,-8.134224619366806,1,Lower middle income,MCV1_increase
COD,Democratic Republic of the Congo,2024,0,46.54,42.75346850010828,-3.786531499891716,-8.136079716122861,1,Low income,MCV1_increase
GIN,Guinea,2024,0,43.04,39.53224132824504,-3.507758671754964,-8.149996913909883,1,Lower middle income,MCV1_increase
TGO,Togo,2024,0,41.2,37.8387961864655,-3.3612038135345017,-8.158261683316367,1,Low income,MCV1_increase
UZB,Uzbekistan,2024,0,40.12,36.84481751629054,-3.2751824837094574,-8.163465811817781,1,Lower middle income,MCV1_increase
