Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
UZB,Uzbekistan,2024,0,40.12,38.63928782186248,-1.480712178137523,-3.690708320373461,1,Lower middle income,MCV2_95
LKA,Sri Lanka,2024,0,13.33,12.94121879975444,-0.3887812002455604,-2.9165881488570427,1,Lower middle income,MCV2_95
MAR,Morocco,2024,0,10.74,10.421486999938388,-0.3185130000616123,-2.9656703916075107,1,Lower middle income,MCV2_95
TUN,Tunisia,2024,0,1.3,1.2582093674240884,-0.0417906325759116,-3.214664044053614,1,Lower middle income,MCV2_95
JOR,Jordan,2024,0,1.38,1.3582787699688208,-0.021721230031179,-1.5740021760583405,1,Lower middle income,MCV2_95
VNM,Viet Nam,2024,0,20.84,20.84,-3.552713678800501e-15,-1.7047570435621178e-14,1,Lower middle income,MCV2_95
PRK,Democratic People's Republic of Korea,2024,0,0.0,0.0,0.0,0.0,1,Low income,MCV2_95
TJK,Tajikistan,2024,0,0.0,0.0,0.0,0.0,1,Lower middle income,MCV2_95
BTN,Bhutan,2024,0,0.0,0.0,0.0,0.0,1,Lower middle income,MCV2_95
BGD,Bangladesh,2024,0,1.42,1.464784745069527,0.0447847450695271,3.1538552863643146,1,Lower middle income,MCV2_95
RWA,Rwanda,2024,0,2.88,2.951803640855275,0.0718036408552751,2.493181974054929,1,Low income,MCV2_95
SWZ,Eswatini,2024,0,0.0,0.0860162944419833,0.0860162944419833,86016294441.9833,1,Lower middle income,MCV2_95
NPL,Nepal,2024,0,3.91,4.000864916649331,0.0908649166493305,2.323910911688148,1,Lower middle income,MCV2_95
NIC,Nicaragua,2024,0,0.0,0.1214313592992985,0.1214313592992985,121431359299.29858,1,Lower middle income,MCV2_95
HND,Honduras,2024,0,0.0,0.1794313917934965,0.1794313917934965,179431391793.49655,1,Lower middle income,MCV2_95
LSO,Lesotho,2024,0,0.43,0.733621033041879,0.303621033041879,70.609542551458,1,Lower middle income,MCV2_95
SLB,Solomon Islands,2024,0,0.0,0.3045858257102101,0.3045858257102101,304585825710.2101,1,Lower middle income,MCV2_95
LAO,Lao People's Democratic Republic,2024,0,0.13,0.4741819830525374,0.3441819830525374,264.7553713752169,1,Lower middle income,MCV2_95
FSM,Micronesia (Federated States of),2024,0,0.0,0.3783628198530524,0.3783628198530524,378362819853.0524,1,Lower middle income,MCV2_95
IND,India,2024,0,14.31,14.73695264031466,0.4269526403146599,2.98359636835553,1,Lower middle income,MCV2_95
MMR,Myanmar,2024,0,0.55,0.9853666499793926,0.4353666499793925,79.15757270913362,1,Lower middle income,MCV2_95
BOL,Bolivia (Plurinational State of),2024,0,0.24,0.6935710426317339,0.4535710426317338,188.98793435114413,1,Lower middle income,MCV2_95
HTI,Haiti,2024,0,0.0,0.4563120537653939,0.4563120537653939,456312053765.394,1,Lower middle income,MCV2_95
ZWE,Zimbabwe,2024,0,2.16,2.692988452776625,0.5329884527766247,24.67539133110876,1,Lower middle income,MCV2_95
KIR,Kiribati,2024,0,0.0,0.5528415893093476,0.5528415893093476,552841589309.3475,1,Lower middle income,MCV2_95
TLS,Timor-Leste,2024,0,1.43,2.000461336940159,0.570461336940159,39.89240118183682,1,Lower middle income,MCV2_95
GMB,Gambia,2024,0,6.88,7.796461495681185,0.916461495681185,13.320661274242212,1,Low income,MCV2_95
SYR,Syrian Arab Republic,2024,0,5.43,6.724089318224107,1.294089318224107,23.83221580479328,1,Low income,MCV2_95
SLE,Sierra Leone,2024,0,5.32,6.732448281778069,1.4124482817780688,26.54977973217141,1,Low income,MCV2_95
TZA,United Republic of Tanzania,2024,0,5.75,7.183176204917961,1.4331762049179613,24.924803563357155,1,Lower middle income,MCV2_95
MDG,Madagascar,2024,0,3.38,5.864091756128722,2.4840917561287217,73.4938389365452,1,Low income,MCV2_95
MWI,Malawi,2024,0,8.31,10.816174323080064,2.506174323080064,30.158535776773824,1,Low income,MCV2_95
CAF,Central African Republic,2024,0,22.14,24.94992165418577,2.809921654185768,12.69160638741227,1,Low income,MCV2_95
ZMB,Zambia,2024,0,15.01,17.88269658261387,2.8726965826138717,19.13855151628736,1,Lower middle income,MCV2_95
SEN,Senegal,2024,0,28.65,33.33473889541278,4.684738895412778,16.351619181139363,1,Lower middle income,MCV2_95
KEN,Kenya,2024,0,24.47,29.3168059166807,4.846805916680701,19.80713492709805,1,Lower middle income,MCV2_95
COM,Comoros,2024,0,18.46,23.47305739384272,5.013057393842718,27.15632391016014,1,Lower middle income,MCV2_95
LBN,Lebanon,2024,0,12.75,18.12705310928424,5.377053109284237,42.172965562682855,1,Lower middle income,MCV2_95
MLI,Mali,2024,0,15.12,21.2192086560312,6.099208656031196,40.338681587241126,1,Low income,MCV2_95
BEN,Benin,2024,0,53.86,60.521724371159536,6.661724371159536,12.368593336701018,1,Lower middle income,MCV2_95
NAM,Namibia,2024,0,24.42,32.16257168955356,7.742571689553557,31.705862774454754,1,Lower middle income,MCV2_95
PHL,Philippines,2024,0,34.56,43.31240580613159,8.752405806131591,25.32524828155748,1,Lower middle income,MCV2_95
TGO,Togo,2024,0,41.2,52.55988790912768,11.359887909127671,27.57254346868956,1,Low income,MCV2_95
NER,Niger,2024,0,62.63,74.04721945982018,11.41721945982018,18.229633498007264,1,Low income,MCV2_95
UGA,Uganda,2024,0,21.41,32.85505810614013,11.445058106140127,53.45660021525769,1,Low income,MCV2_95
PAK,Pakistan,2024,0,96.56,108.90954142913608,12.349541429136067,12.789500237285914,1,Lower middle income,MCV2_95
KHM,Cambodia,2024,0,37.76,50.50152101400464,12.74152101400464,33.74343488869411,1,Lower middle income,MCV2_95
MOZ,Mozambique,2024,0,20.39,33.14156194646474,12.75156194646474,62.53831263561649,1,Low income,MCV2_95
AGO,Angola,2024,0,14.99,27.75309963348531,12.763099633485307,85.14409361841336,1,Lower middle income,MCV2_95
GNB,Guinea-Bissau,2024,0,25.44,40.81693871759854,15.376938717598538,60.44394149975666,1,Low income,MCV2_95
CMR,Cameroon,2024,0,29.84,46.01948760370858,16.179487603708584,54.22080296130819,1,Lower middle income,MCV2_95
COG,Congo,2024,0,28.74,45.18150886606001,16.44150886606001,57.207755274887965,1,Lower middle income,MCV2_95
GHA,Ghana,2024,0,121.68,141.06360093386982,19.38360093386981,15.929981043601154,1,Lower middle income,MCV2_95
SDN,Sudan,2024,0,28.78,50.15072814020413,21.37072814020413,74.25548346118788,1,Low income,MCV2_95
COD,Democratic Republic of the Congo,2024,0,46.54,70.16378987491774,23.62378987491774,50.760184518407776,1,Low income,MCV2_95
GIN,Guinea,2024,0,43.04,68.65272243279269,25.612722432792687,59.50911345895256,1,Lower middle income,MCV2_95
BDI,Burundi,2024,0,186.22,213.8223566433298,27.602356643329813,14.822444766037478,1,Low income,MCV2_95
MRT,Mauritania,2024,0,69.64,97.2643659374428,27.624365937442803,39.66738359764953,1,Lower middle income,MCV2_95
DJI,Djibouti,2024,0,51.34,79.53396038072063,28.193960380720625,54.916167473053584,1,Lower middle income,MCV2_95
SSD,South Sudan,2024,0,257.55,288.94607794683355,31.396077946833543,12.190284584283187,1,Low income,MCV2_95
TCD,Chad,2024,0,57.05,89.97272293225399,32.92272293225399,57.70854151129936,1,Low income,MCV2_95
NGA,Nigeria,2024,0,47.05,82.2918166911879,35.24181669118791,74.90290476325825,1,Lower middle income,MCV2_95
KGZ,Kyrgyzstan,2024,0,2005.01,2042.1334076268272,37.1234076268272,1.8515322929474345,1,Lower middle income,MCV2_95
SOM,Somalia,2024,0,79.75,142.87883769906264,63.12883769906264,79.15841717740875,1,Low income,MCV2_95
BFA,Burkina Faso,2024,0,309.57,407.8970462779094,98.3270462779094,31.76245963041562,1,Low income,MCV2_95
CIV,Côte d'Ivoire,2024,0,207.58,319.9356793315002,112.35567933150016,54.12644731257638,1,Lower middle income,MCV2_95
AFG,Afghanistan,2024,0,229.06,366.2093380740384,137.14933807403838,59.87485290927204,1,Low income,MCV2_95
LBR,Liberia,2024,0,399.98,551.695923504677,151.715923504677,37.93087742003077,1,Low income,MCV2_95
YEM,Yemen,2024,0,591.13,979.4307616625456,388.3007616625457,65.68787942795662,1,Low income,MCV2_95
