Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied,IncomeGroup,Intervention
KGZ,Kyrgyzstan,2024,0,2005.01,1991.1752553384529,-13.83474466154712,-0.6900087611306891,1,Lower middle income,PolStability_1sd
YEM,Yemen,2024,0,591.13,587.0462878767099,-4.08371212329007,-0.6908314792498061,1,Low income,PolStability_1sd
LBR,Liberia,2024,0,399.98,397.2145821235254,-2.7654178764746007,-0.6913890385704058,1,Low income,PolStability_1sd
BFA,Burkina Faso,2024,0,309.57,307.42810806051006,-2.1418919394899376,-0.6918926057076739,1,Low income,PolStability_1sd
SSD,South Sudan,2024,0,257.55,255.76687168446668,-1.7831283155333324,-0.6923425802883479,1,Low income,PolStability_1sd
AFG,Afghanistan,2024,0,229.06,227.47335718324672,-1.5866428167532831,-0.6926756381527069,1,Low income,PolStability_1sd
CIV,Côte d'Ivoire,2024,0,207.58,206.1414971802208,-1.438502819779217,-0.6929871951915039,1,Lower middle income,PolStability_1sd
BDI,Burundi,2024,0,186.22,184.92880957944644,-1.291190420553562,-0.6933682851212913,1,Low income,PolStability_1sd
GHA,Ghana,2024,0,121.68,120.83391923515912,-0.8460807648408775,-0.6953326469758235,1,Lower middle income,PolStability_1sd
PAK,Pakistan,2024,0,96.56,95.88716303050307,-0.6728369694969274,-0.6968071349381012,1,Lower middle income,PolStability_1sd
SOM,Somalia,2024,0,79.75,79.19309568176634,-0.5569043182336628,-0.6983126247435292,1,Low income,PolStability_1sd
MRT,Mauritania,2024,0,69.64,69.15282079207402,-0.4871792079259762,-0.6995680757111956,1,Lower middle income,PolStability_1sd
NER,Niger,2024,0,62.63,62.191166293879775,-0.4388337061202279,-0.7006765226241851,1,Low income,PolStability_1sd
TCD,Chad,2024,0,57.05,56.64964958918313,-0.4003504108168698,-0.7017535684770694,1,Low income,PolStability_1sd
BEN,Benin,2024,0,53.86,53.48164989599631,-0.3783501040036938,-0.7024695581191819,1,Lower middle income,PolStability_1sd
DJI,Djibouti,2024,0,51.34,50.97902944871392,-0.3609705512860799,-0.7030980741826584,1,Lower middle income,PolStability_1sd
NGA,Nigeria,2024,0,47.05,46.71861606822131,-0.3313839317786886,-0.704322915574887,1,Lower middle income,PolStability_1sd
COD,Democratic Republic of the Congo,2024,0,46.54,46.21213335865227,-0.3278666413477324,-0.7044835439343102,1,Low income,PolStability_1sd
GIN,Guinea,2024,0,43.04,42.73627162631565,-0.3037283736843505,-0.7056886005660894,1,Lower middle income,PolStability_1sd
TGO,Togo,2024,0,41.2,40.90896145845869,-0.2910385415413188,-0.7064042270403212,1,Low income,PolStability_1sd
