Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
AFG,Afghanistan,2024,0,229.06,173.36956960764084,-55.69043039235916,-24.312595124567732,1
AGO,Angola,2024,0,14.99,11.11931417033025,-3.8706858296697497,-25.821786722107593,1
ALB,Albania,2024,0,17.55,13.059617126930965,-4.490382873069036,-25.586227196828776,1
ARE,United Arab Emirates,2024,1,53.14,40.034375808735454,-13.105624191264546,-24.66244672796365,0
ARG,Argentina,2024,0,0.31,0.0,-0.31,-99.99999996774193,1
ARM,Armenia,2024,0,187.64,141.9760741145152,-45.66392588548479,-24.335922983084874,1
AUS,Australia,2024,1,2.13,1.3723235367813436,-0.7576764632186563,-35.571664938172994,0
AUT,Austria,2024,1,61.07,46.04476738914311,-15.02523261085689,-24.60329558020679,0
AZE,Azerbaijan,2024,0,1614.65,1223.5509655593537,-391.0990344406464,-24.221907809161248,1
BDI,Burundi,2024,0,186.22,140.8998123182757,-45.32018768172429,-24.33690671340348,1
BEL,Belgium,2024,1,44.89,33.781446358752675,-11.108553641247326,-24.7461653847685,0
BEN,Benin,2024,0,53.86,40.580086015279406,-13.279913984720594,-24.656357194013992,1
BFA,Burkina Faso,2024,0,309.57,234.3905817310485,-75.17941826895148,-24.285111047235585,1
BGD,Bangladesh,2024,0,1.42,0.8341926386616138,-0.5858073613383862,-41.25403952796705,1
BGR,Bulgaria,2024,1,4.0,2.789654212110772,-1.2103457878892279,-30.25864469647423,0
BHR,Bahrain,2024,1,1.24,0.6977650870256259,-0.5422349129743741,-43.72862201053593,0
BHS,Bahamas,2024,1,0.0,0.0,0.0,0.0,0
BIH,Bosnia and Herzegovina,2024,0,533.46,404.08371804094463,-129.3762819590554,-24.25229294774325,1
BLR,Belarus,2024,0,58.52,44.112043740966655,-14.407956259033348,-24.620567770008076,1
BLZ,Belize,2024,0,0.0,0.0,0.0,0.0,1
BOL,Bolivia (Plurinational State of),2024,0,0.24,0.0,-0.24,-99.99999995833333,1
BRA,Brazil,2024,0,0.02,0.0,-0.02,-99.99999949999999,1
BRB,Barbados,2024,1,0.0,0.0,0.0,0.0,0
BRN,Brunei Darussalam,2024,1,0.0,0.0,0.0,0.0,0
