Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
AFG,Afghanistan,2024,0,229.06,210.7358637596743,-18.324136240325714,-7.999710224534059,1
AGO,Angola,2024,0,14.99,13.716406422312401,-1.273593577687599,-8.496288043222833,1
ALB,Albania,2024,0,17.55,16.072504010875235,-1.4774959891247654,-8.418780564765507,1
ARE,United Arab Emirates,2024,1,53.14,48.827782595621855,-4.312217404378146,-8.114823869721548,0
ARG,Argentina,2024,0,0.31,0.2056593128973887,-0.1043406871026113,-33.65828615127516,1
ARM,Armenia,2024,0,187.64,172.614941057224,-15.025058942775985,-8.007385921321669,1
AUS,Australia,2024,1,2.13,1.8806974422662797,-0.24930255773372023,-11.704345432958494,0
AUT,Austria,2024,1,61.07,56.12616301644342,-4.943836983556579,-8.095361034138667,0
AZE,Azerbaijan,2024,0,1614.65,1485.9644800631042,-128.68551993689584,-7.969870865939234,1
BDI,Burundi,2024,0,186.22,171.30804317606803,-14.911956823931973,-8.007709603653725,1
BEL,Belgium,2024,1,44.89,41.23488997622991,-3.655110023770092,-8.142370291294164,0
BEN,Benin,2024,0,53.86,49.49043504240516,-4.369564957594839,-8.112820196039225,1
BFA,Burkina Faso,2024,0,309.57,284.83329221873447,-24.736707781265522,-7.990666983641029,1
BGD,Bangladesh,2024,0,1.42,1.2272485016883061,-0.1927514983116938,-13.574049175923927,1
BGR,Bulgaria,2024,1,4.0,3.6017531026617884,-0.3982468973382116,-9.956172433206385,0
BHR,Bahrain,2024,1,1.24,1.0615853899924816,-0.17841461000751835,-14.388274999445974,0
BHS,Bahamas,2024,1,0.0,0.0,0.0,0.0,0
BIH,Bosnia and Herzegovina,2024,0,533.46,490.89059264972406,-42.56940735027598,-7.979868659368648,1
BLR,Belarus,2024,0,58.52,53.779268934085955,-4.740731065914048,-8.10104420011269,1
BLZ,Belize,2024,0,0.0,0.0,0.0,0.0,1
BOL,Bolivia (Plurinational State of),2024,0,0.24,0.14123476946012367,-0.09876523053987632,-41.152179374468396,1
BRA,Brazil,2024,0,0.02,0.0,-0.02,-99.99999949999999,1
BRB,Barbados,2024,1,0.0,0.0,0.0,0.0,0
BRN,Brunei Darussalam,2024,1,0.0,0.0,0.0,0.0,0
BTN,Bhutan,2024,0,0.0,0.0,0.0,0.0,1
BWA,Botswana,2024,0,1.19,1.0155678589658632,-0.17443214103413673,-14.658163110880553,1
CAF,Central African Republic,2024,0,22.14,20.296913359118758,-1.8430866408812427,-8.324691241521762,1
CAN,Canada,2024,1,3.7,3.325647916502082,-0.3743520834979184,-10.117623878048668,0
CHE,Switzerland,2024,1,11.21,10.237481076700087,-0.9725189232999139,-8.675458726951279,0
CHL,Chile,2024,1,0.0,0.0,0.0,0.0,0
CHN,China,2024,0,0.9,0.7486661790114798,-0.15133382098852022,-16.81486899685615,1
CIV,Côte d'Ivoire,2024,0,207.58,190.9667324306392,-16.6132675693608,-8.00330839645091,1
CMR,Cameroon,2024,0,29.84,27.38361313721791,-2.4563868627820895,-8.231859459697915,1
COD,Democratic Republic of the Congo,2024,0,46.54,42.75346850010828,-3.7865314998917157,-8.136079716122861,1
COG,Congo,2024,0,28.74,26.37122745463232,-2.36877254536768,-8.242075662350166,1
COK,Cook Islands,2024,0,0.0,0.0,0.0,0.0,1
COL,Colombia,2024,0,0.0,0.0,0.0,0.0,1
COM,Comoros,2024,0,18.46,16.910023075559682,-1.549976924440319,-8.396408041343026,1
CRI,Costa Rica,2024,1,0.0,0.0,0.0,0.0,0
CUB,Cuba,2024,0,0.0,0.0,0.0,0.0,1
CYP,Cyprus,2024,1,19.88,18.216920956715633,-1.663079043284366,-8.365588748873243,0
CZE,Czechia,2024,1,3.45,3.0955602613689917,-0.3544397386310085,-10.273615612195213,0
DEU,Germany,2024,1,7.72,7.02545741104216,-0.69454258895784,-8.996665659959111,0
DJI,Djibouti,2024,0,51.34,47.1711514786636,-4.1688485213364,-8.120078927402181,1
DMA,Dominica,2024,0,0.0,0.0,0.0,0.0,1
DNK,Denmark,2024,1,4.18,3.767416214357613,-0.41258378564238685,-9.870425493600871,0
DOM,Dominican Republic,2024,0,0.0,0.0,0.0,0.0,1
DZA,Algeria,2024,0,1.62,1.4113186257947776,-0.20868137420522248,-12.881566308169193,1
ECU,Ecuador,2024,0,0.0,0.0,0.0,0.0,1
EGY,Egypt,2024,0,0.78,0.6382241045475969,-0.1417758954524031,-18.176396850541884,1
ERI,Eritrea,2024,0,2.83,2.5249428766389306,-0.3050571233610695,-10.779403651953713,1
ESP,Spain,2024,1,5.03,4.5497142418101175,-0.4802857581898827,-9.548424615911218,0
EST,Estonia,2024,1,2.94,2.62618144489749,-0.3138185551025101,-10.674100513327756,0
ETH,Ethiopia,2024,0,228.69,210.3953340300772,-18.29466596992279,-7.999766482974678,1
FIN,Finland,2024,1,0.36,0.2516768439240066,-0.10832315607599341,-30.089765568306568,0
FJI,Fiji,2024,0,0.0,0.0,0.0,0.0,1
FRA,France,2024,1,7.27,6.611299631802598,-0.658700368197402,-9.060527760499882,0
FSM,Micronesia (Federated States of),2024,0,0.0,0.0,0.0,0.0,1
GAB,Gabon,2024,0,11.82,10.798894955224826,-1.0211050447751742,-8.638790564860706,1
GBR,United Kingdom of Great Britain and Northern Ireland,2024,1,42.29,38.84197836284577,-3.448021637154227,-8.153278877148436,0
GEO,Georgia,2024,0,91.92,84.51897965986667,-7.4010203401333285,-8.05158870770809,1
GHA,Ghana,2024,0,121.68,111.90861412690968,-9.771385873090324,-8.03039601666855,1
GIN,Guinea,2024,0,43.04,39.532241328245036,-3.5077586717549636,-8.149996913909883,1
GMB,Gambia,2024,0,6.88,6.252362889794981,-0.6276371102050193,-9.122632415638034,1
GNB,Guinea-Bissau,2024,0,25.44,23.334070406875544,-2.1059295931244577,-8.278025130173662,1
GNQ,Equatorial Guinea,2024,0,272.65,250.85394730867966,-21.796052691320313,-7.994150996263458,1
GRC,Greece,2024,1,3.78,3.39927596614467,-0.38072403385532994,-10.072064387440685,0
GRD,Grenada,2024,0,0.0,0.0,0.0,0.0,1
GTM,Guatemala,2024,0,0.0,0.0,0.0,0.0,1
GUY,Guyana,2024,1,0.0,0.0,0.0,0.0,0
HND,Honduras,2024,0,0.0,0.0,0.0,0.0,1
HRV,Croatia,2024,1,8.52,7.761737907468047,-0.758262092531953,-8.899789818345695,0
HTI,Haiti,2024,0,0.0,0.0,0.0,0.0,1
HUN,Hungary,2024,1,1.86,1.6322027747225432,-0.22779722527745694,-12.247162648667192,0
IDN,Indonesia,2024,0,25.37,23.269645863438278,-2.100354136561723,-8.278888989174002,1
IND,India,2024,0,14.31,13.090568000350395,-1.219431999649606,-8.521537383934902,1
IRL,Ireland,2024,1,40.34,37.04729465280767,-3.2927053471923315,-8.162383111512566,0
IRN,Iran (Islamic Republic of),2024,0,4.77,4.310423080471704,-0.4595769195282955,-9.634736258252847,1
IRQ,Iraq,2024,0,703.71,647.5802857953579,-56.12971420464214,-7.976256441521956,1
ISL,Iceland,2024,1,5.08,4.595731772836735,-0.48426822716326523,-9.532839117199456,0
ISR,Israel,2024,1,3.3,2.9575076682891384,-0.34249233171086146,-10.37855550607524,0
ITA,Italy,2024,1,17.78,16.28418465359768,-1.4958153464023205,-8.412909709752013,0
JAM,Jamaica,2024,0,0.0,0.0,0.0,0.0,1
JOR,Jordan,2024,0,1.38,1.1904344768670116,-0.18956552313298825,-13.736632110090698,1
JPN,Japan,2024,1,0.34,0.2332698315133595,-0.10673016848664052,-31.39122601624979,0
KAZ,Kazakhstan,2024,0,1366.85,1257.901596295186,-108.94840370481393,-7.970765168438817,1
KEN,Kenya,2024,0,24.47,22.44133030495915,-2.0286696950408505,-8.290436023835554,1
KGZ,Kyrgyzstan,2024,0,2005.01,1845.2325482941142,-159.77745170588582,-7.968910464580119,1
KHM,Cambodia,2024,0,37.76,34.672790051834184,-3.087209948165814,-8.175873803383576,1
KIR,Kiribati,2024,0,0.0,0.0,0.0,0.0,1
KNA,Saint Kitts and Nevis,2024,1,0.0,0.0,0.0,0.0,0
KOR,Republic of Korea,2024,1,0.95,0.7946837100380977,-0.15531628996190228,-16.349083152163495,0
KWT,Kuwait,2024,1,1.42,1.2272485016883061,-0.1927514983116938,-13.574049175923927,0
LAO,Lao People's Democratic Republic,2024,0,0.13,0.03999620120156432,-0.09000379879843567,-69.23369133015537,1
LBN,Lebanon,2024,0,12.75,11.65482103231992,-1.0951789676800807,-8.589638962129342,1
LBR,Liberia,2024,0,399.98,368.0421918210649,-31.937808178935143,-7.984851287296154,1
LBY,Libya,2024,0,25.06,22.984337171073246,-2.0756628289267525,-8.282772661286792,1
LCA,Saint Lucia,2024,0,0.0,0.0,0.0,0.0,1
LKA,Sri Lanka,2024,0,13.33,12.18862439222869,-1.1413756077713106,-8.56245767263877,1
LSO,Lesotho,2024,0,0.43,0.31610138736127164,-0.11389861263872836,-26.48804944470705,1
LTU,Lithuania,2024,1,9.44,8.608460478357815,-0.8315395216421848,-8.808681373234917,0
LUX,Luxembourg,2024,1,4.46,4.025114388106672,-0.43488561189332753,-9.750798472725936,0
LVA,Latvia,2024,1,0.0,0.0,0.0,0.0,0
MAR,Morocco,2024,0,10.74,9.80491628504988,-0.935083714950121,-8.706552280646317,1
MCO,Monaco,2024,1,51.77,47.56690224549253,-4.203097754507475,-8.118790331271693,0
MDA,Republic of Moldova,2024,0,72.82,66.94028280769861,-5.879717192301385,-8.074316386011137,1
MDG,Madagascar,2024,0,3.38,3.031135717931727,-0.348864282068273,-10.321428463253007,1
MDV,Maldives,2024,0,5.68,5.147942145156149,-0.5320578548438508,-9.367215754128233,1
MEX,Mexico,2024,0,0.05,0.0,-0.05,-99.9999998,1
MHL,Marshall Islands,2024,0,0.0,0.0,0.0,0.0,1
MKD,North Macedonia,2024,0,1.1,0.9327363031179513,-0.16726369688204878,-15.205790624258453,1
MLI,Mali,2024,0,15.12,13.836052002981603,-1.2839479970183962,-8.491719556943814,1
MLT,Malta,2024,1,16.68,15.271798971012084,-1.408201028987916,-8.442452212107158,0
MMR,Myanmar,2024,0,0.55,0.4265434618251547,-0.12345653817484536,-22.44664330043613,1
MNE,Montenegro,2024,0,54.82,50.3739716381162,-4.446028361883798,-8.110230503239123,1
MNG,Mongolia,2024,0,3.45,3.0955602613689917,-0.3544397386310085,-10.273615612195213,1
MOZ,Mozambique,2024,0,20.39,18.68629977318713,-1.7037002268128703,-8.355567566476287,1
MRT,Mauritania,2024,0,69.64,64.01356783440578,-5.626432165594224,-8.07931097872795,1
MWI,Malawi,2024,0,8.31,7.568464277156251,-0.7415357228437491,-8.923414233872752,1
MYS,Malaysia,2024,0,106.62,98.04813378169237,-8.571866218307633,-8.03964192299718,1
NAM,Namibia,2024,0,24.42,22.39531277393254,-2.02468722606746,-8.291102481814779,1
NER,Niger,2024,0,62.63,57.56190998447391,-5.068090015526096,-8.092112430972383,1
