Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
AFG,Afghanistan,2024,0,229.06,366.2093380740384,137.14933807403838,59.874852909272036,1
AGO,Angola,2024,0,14.99,27.75309963348531,12.763099633485309,85.14409361841336,1
ALB,Albania,2024,0,17.55,18.06730708542371,0.5173070854237096,2.9476187203462225,1
ARE,United Arab Emirates,2024,1,53.14,54.64981162290242,1.5098116229024185,2.8411961289039844,0
ARG,Argentina,2024,0,0.31,1.05295894989238,0.7429589498923799,239.66417730732766,1
ARM,Armenia,2024,0,187.64,187.64000000000004,5.684341886080802e-14,3.029387063567348e-14,1
AUS,Australia,2024,1,2.13,2.2172868559232457,0.08728685592324581,4.0979744562980205,0
AUT,Austria,2024,1,61.07,67.65650920033377,6.586509200333772,10.785179630461744,0
AZE,Azerbaijan,2024,0,1614.65,1721.7410205668828,107.09102056688266,6.632460320619082,1
BDI,Burundi,2024,0,186.22,213.8223566433298,27.602356643329813,14.822444766037478,1
BEL,Belgium,2024,1,44.89,50.69894276530399,5.808942765303989,12.940393774317327,0
BEN,Benin,2024,0,53.86,60.521724371159536,6.661724371159536,12.368593336701018,1
BFA,Burkina Faso,2024,0,309.57,407.8970462779094,98.3270462779094,31.76245963041562,1
BGD,Bangladesh,2024,0,1.42,1.464784745069527,0.04478474506952712,3.1538552863643146,1
BGR,Bulgaria,2024,1,4.0,4.18677330743072,0.18677330743071963,4.669332685651257,0
BHR,Bahrain,2024,1,1.24,1.1593386362104083,-0.08066136378959166,-6.504948692184411,0
BHS,Bahamas,2024,1,0.0,0.3783628198530524,0.3783628198530524,378362819853.0524,0
BIH,Bosnia and Herzegovina,2024,0,533.46,665.0069855777589,131.54698557775885,24.65920323505683,1
BLR,Belarus,2024,0,58.52,56.90518792473025,-1.6148120752697537,-2.7594191306681375,1
BLZ,Belize,2024,0,0.0,0.11630222026410936,0.11630222026410936,116302220264.10934,1
BOL,Bolivia (Plurinational State of),2024,0,0.24,0.6935710426317339,0.45357104263173387,188.98793435114413,1
BRA,Brazil,2024,0,0.02,0.3064993438574067,0.28649934385740666,1432.4967121245497,1
BRB,Barbados,2024,1,0.0,0.19029469637537136,0.19029469637537136,190294696375.37137,0
BRN,Brunei Darussalam,2024,1,0.0,0.0,0.0,0.0,0
BTN,Bhutan,2024,0,0.0,0.0,0.0,0.0,1
BWA,Botswana,2024,0,1.19,1.5829547480277575,0.39295474802775754,33.02140739451565,1
CAF,Central African Republic,2024,0,22.14,24.94992165418577,2.809921654185768,12.69160638741227,1
CAN,Canada,2024,1,3.7,4.442606165546039,0.7426061655460385,20.070436906107247,0
CHE,Switzerland,2024,1,11.21,11.435959395578067,0.22595939557806588,2.0156948757899213,0
CHL,Chile,2024,1,0.0,0.22348865218007435,0.22348865218007435,223488652180.07434,0
CHN,China,2024,0,0.9,0.9,0.0,0.0,1
CIV,Côte d'Ivoire,2024,0,207.58,319.9356793315002,112.35567933150017,54.12644731257638,1
CMR,Cameroon,2024,0,29.84,46.01948760370858,16.179487603708584,54.22080296130819,1
COD,Democratic Republic of the Congo,2024,0,46.54,70.16378987491774,23.62378987491774,50.760184518407776,1
COG,Congo,2024,0,28.74,45.18150886606001,16.44150886606001,57.207755274887965,1
COK,Cook Islands,2024,0,0.0,0.15800131181830615,0.15800131181830615,158001311818.30615,1
COL,Colombia,2024,0,0.0,0.0860162944419833,0.0860162944419833,86016294441.9833,1
COM,Comoros,2024,0,18.46,23.47305739384272,5.013057393842718,27.15632391016014,1
CRI,Costa Rica,2024,1,0.0,0.07610469370703246,0.07610469370703246,76104693707.03246,0
CUB,Cuba,2024,0,0.0,0.0,0.0,0.0,1
CYP,Cyprus,2024,1,19.88,19.50061373557173,-0.3793862644282697,-1.9083816118026227,0
CZE,Czechia,2024,1,3.45,3.7016565928170495,0.25165659281704933,7.29439399448565,0
DEU,Germany,2024,1,7.72,7.963176160910768,0.24317616091076832,3.149950270824072,0
DJI,Djibouti,2024,0,51.34,79.53396038072063,28.193960380720625,54.916167473053584,1
