Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
AFG,Afghanistan,2024,0,229.06,227.47335718324672,-1.5866428167532831,-0.6926756381527069,1
AGO,Angola,2024,0,14.99,14.879722600017876,-0.11027739998212382,-0.7356731152861118,1
ALB,Albania,2024,0,17.55,17.42206718138409,-0.12793281861591055,-0.7289619294312342,1
ARE,United Arab Emirates,2024,1,53.14,52.766615482487055,-0.373384517512946,-0.7026430513967695,0
ARG,Argentina,2024,0,0.31,0.30096539124599236,-0.009034608754007634,-2.914389919707498,1
ARM,Armenia,2024,0,187.64,186.339016339423,-1.300983660576975,-0.6933402582478585,1
AUS,Australia,2024,1,2.13,2.108413492061035,-0.021586507938964772,-1.0134510768991232,0
AUT,Austria,2024,1,61.07,60.64192506460973,-0.42807493539027064,-0.7009578113469292,0
AZE,Azerbaijan,2024,0,1614.65,1603.5074308141902,-11.142569185809862,-0.6900919199708402,1
BDI,Burundi,2024,0,186.22,184.92880957944644,-1.291190420553562,-0.6933682851212913,1
BEL,Belgium,2024,1,44.89,44.57351282769359,-0.31648717230640955,-0.7050282296852406,0
BEN,Benin,2024,0,53.86,53.481649895996306,-0.37835010400369384,-0.7024695581191819,1
BFA,Burkina Faso,2024,0,309.57,307.42810806051006,-2.1418919394899376,-0.6918926057076739,1
BGD,Bangladesh,2024,0,1.42,1.4033101120727496,-0.016689887927250346,-1.175344220146127,1
BGR,Bulgaria,2024,1,4.0,3.9655167604808863,-0.034483239519113695,-0.8620809879562904,0
BHR,Bahrain,2024,1,1.24,1.2245515086954377,-0.015448491304562273,-1.245846072848099,0
BHS,Bahamas,2024,1,0.0,0.0,0.0,0.0,0
BIH,Bosnia and Herzegovina,2024,0,533.46,529.7740175613234,-3.6859824386766604,-0.6909576048205993,1
BLR,Belarus,2024,0,58.52,58.10951151676453,-0.4104884832354756,-0.7014499029985887,1
BLZ,Belize,2024,0,0.0,0.0,0.0,0.0,1
BOL,Bolivia (Plurinational State of),2024,0,0.24,0.23144815659926,-0.00855184340074,-3.5632680821569718,1
BRA,Brazil,2024,0,0.02,0.012965419138100977,-0.007034580861899023,-35.17290413363059,1
BRB,Barbados,2024,1,0.0,0.0,0.0,0.0,0
BRN,Brunei Darussalam,2024,1,0.0,0.0,0.0,0.0,0
BTN,Bhutan,2024,0,0.0,0.0,0.0,0.0,1
BWA,Botswana,2024,0,1.19,1.1748963410906286,-0.015103658909371376,-1.2692150342942992,1
CAF,Central African Republic,2024,0,22.14,21.98041156750554,-0.1595884324944592,-0.7208149615796675,1
CAN,Canada,2024,1,3.7,3.667585754852034,-0.03241424514796609,-0.8760606796510819,0
CHE,Switzerland,2024,1,11.21,11.125791929094325,-0.08420807090567628,-0.7511870731929089,0
