Year,Metric,Correlation,P-value,N,Significance
2013,GDP per Capita,-0.017412955576750076,0.8370401898125499,142,ns
2013,Health Expenditure (% GDP),0.05466310435832196,0.734275067000109,41,ns
2013,Urban Population (%),-0.041416062037468386,0.6196519118923067,146,ns
2013,Birth Rate,0.16509154176422347,0.04644262394067054,146,*
2013,Net Migration,0.16147615535604026,0.05233661124440845,145,.
2013,Population Density,-0.009498651377424734,0.9094053207514429,146,ns
2013,Political Stability Index,-0.3689623919251388,4.592013725163268e-06,146,***
2013,Household Size,0.0737254649718461,0.41008118928896975,127,ns
2013,Vaccine Coverage 1st Dose (%),-0.3348064764697006,3.3991950635147e-05,147,***
2013,Vaccine Coverage 2nd Dose (%),-0.15566620917721175,0.11280910791550089,105,ns
