Year,Metric,Correlation,P-value,N,Significance
2015,GDP per Capita,-0.12169028638644627,0.1107311523791235,173,ns
2015,Health Expenditure (% GDP),-0.0774818565401081,0.3492612320765882,148,ns
2015,Vaccine Hesitancy (%),-0.02380525273502755,0.7558892855947691,173,ns
2015,Urban Population (%),-0.17086327168022217,0.024183656129148773,174,*
2015,Birth Rate,0.23259904835861614,0.0020113495100871123,174,**
2015,Net Migration,0.010127671042630584,0.8944831204732698,174,ns
2015,Population Density,-0.18666950471778299,0.013651318149441144,174,*
2015,Political Stability Index,-0.310458449481784,3.056677069883763e-05,174,***
2015,Household Size,0.22301444753551525,0.003097391099303029,174,**
2015,Vaccine Coverage 1st Dose (%),-0.21497182857876562,0.004167754705222718,176,**
2015,Vaccine Coverage 2nd Dose (%),-0.12635595191098717,0.09566595417192286,175,.
2015,Year,,,176,
