Year,Metric,Correlation,P-value,N,Significance
2012,GDP per Capita,-0.09887964467324922,0.23183089975874638,148,ns
2012,Health Expenditure (% GDP),0.1369570705998001,0.22573454359326364,80,ns
2012,Urban Population (%),-0.1590389115895233,0.05352095922493228,148,.
2012,Birth Rate,0.25850987188667307,0.0015121318242431855,148,**
2012,Net Migration,0.08169676159205426,0.3235896426856115,148,ns
2012,Population Density,-0.13000647907898316,0.11528456405596545,148,ns
2012,Political Stability Index,-0.3201944682384227,7.270043437326493e-05,148,***
2012,Household Size,0.1333566626450741,0.10613245626613052,148,ns
2012,Vaccine Coverage 1st Dose (%),-0.3329939076921825,3.1317267911113106e-05,150,***
2012,Vaccine Coverage 2nd Dose (%),-0.34273124309811814,1.8802650568233227e-05,149,***
2012,Year,,,150,
2013,GDP per Capita,-0.04134655761274353,0.6202401219159498,146,ns
2013,Health Expenditure (% GDP),0.13728441657204302,0.22461677035989233,80,ns
2013,Urban Population (%),-0.041416062037468386,0.6196519118923067,146,ns
2013,Birth Rate,0.16509154176422347,0.04644262394067054,146,*
2013,Net Migration,0.17040615442755042,0.03974469651343128,146,*
2013,Population Density,-0.009498651377424734,0.9094053207514429,146,ns
2013,Political Stability Index,-0.3689623919251388,4.592013725163268e-06,146,***
2013,Household Size,0.09995588994811916,0.22998442913750164,146,ns
2013,Vaccine Coverage 1st Dose (%),-0.33894683615940385,2.5096542999379264e-05,148,***
2013,Vaccine Coverage 2nd Dose (%),-0.24819654274877323,0.0024365738374516367,147,**
2013,Year,,,148,
2014,GDP per Capita,-0.10557744467184592,0.19548508768585324,152,ns
2014,Health Expenditure (% GDP),-0.22504341537867734,0.011292444782892501,126,*
2014,Urban Population (%),-0.22770407932024062,0.004782793218289745,152,**
2014,Birth Rate,0.20847269288789722,0.009954958169366897,152,**
2014,Net Migration,0.07495606514847009,0.35873207808331065,152,ns
2014,Population Density,-0.14476318304291133,0.07517215173074203,152,.
2014,Political Stability Index,-0.273800557165712,0.0006419584048987892,152,***
2014,Household Size,0.19350658662413672,0.01691096948955586,152,*
2014,Vaccine Coverage 1st Dose (%),-0.36728975785465695,2.7909045384323506e-06,154,***
2014,Vaccine Coverage 2nd Dose (%),-0.22555635574978736,0.005057992629207477,153,**
2014,Year,,,154,
2015,GDP per Capita,-0.12169028638644627,0.1107311523791235,173,ns
2015,Health Expenditure (% GDP),-0.0774818565401081,0.3492612320765882,148,ns
2015,Vaccine Hesitancy (%),-0.02380525273502755,0.7558892855947691,173,ns
2015,Urban Population (%),-0.17086327168022217,0.024183656129148773,174,*
2015,Birth Rate,0.23259904835861614,0.0020113495100871123,174,**
2015,Net Migration,0.010127671042630584,0.8944831204732698,174,ns
2015,Population Density,-0.18666950471778299,0.013651318149441144,174,*
2015,Political Stability Index,-0.310458449481784,3.056677069883763e-05,174,***
2015,Household Size,0.22301444753551525,0.003097391099303029,174,**
2015,Vaccine Coverage 1st Dose (%),-0.21497182857876562,0.004167754705222718,176,**
2015,Vaccine Coverage 2nd Dose (%),-0.12635595191098717,0.09566595417192286,175,.
2015,Year,,,176,
2016,GDP per Capita,-0.1927472159501275,0.010379028107632613,176,*
2016,Health Expenditure (% GDP),-0.10158374406422707,0.21456060146194011,151,ns
2016,Vaccine Hesitancy (%),-0.23903035470320727,0.04627760526664358,70,*
2016,Urban Population (%),-0.15910088240739373,0.03441337963972468,177,*
2016,Birth Rate,0.31469999670130167,1.9896803407556913e-05,177,***
2016,Net Migration,0.09788141560923637,0.1949356553474959,177,ns
2016,Population Density,-0.08205034639771705,0.2776089273951431,177,ns
2016,Political Stability Index,-0.3197524725940797,1.43566714418066e-05,177,***
2016,Household Size,0.26721910117424824,0.00032372243039623333,177,***
2016,Vaccine Coverage 1st Dose (%),-0.23310221340647447,0.001688208722447142,179,**
2016,Vaccine Coverage 2nd Dose (%),-0.17735381421410631,0.017868552256882806,178,*
2016,Year,,,179,
2017,GDP per Capita,-0.08646204298460482,0.24979985649661135,179,ns
2017,Health Expenditure (% GDP),-0.028885539966220734,0.7221297732346215,154,ns
2017,Urban Population (%),-0.11403918272562728,0.1274302305536581,180,ns
2017,Birth Rate,0.09318457900237621,0.21342538547581907,180,ns
2017,Net Migration,0.0073812054433285415,0.9216617686906299,180,ns
2017,Population Density,-0.04287485038689246,0.5676730169169808,180,ns
2017,Political Stability Index,-0.3033723280392284,3.476098169560687e-05,180,***
2017,Household Size,0.11164762677490404,0.13566147845254267,180,ns
2017,Vaccine Coverage 1st Dose (%),-0.1641440463640998,0.026814517563796426,182,*
