Year,Metric,Correlation,P-value,N,Significance
2023,GDP per Capita,0.4766568464425669,0.0004061498657993548,51,***
2023,"Current Health Expenditure Per Capita, Ppp (Current International $)",0.2781928395961351,0.048080947045273596,51,*
2023,Vaccine Hesitancy (%),-0.018584802532815144,0.8970072763072806,51,ns
2023,Urban Population (%),0.16104790668948174,0.25890290538361316,51,ns
2023,Birth Rate,-0.04399833191385503,0.7591708648024421,51,ns
2023,Net Migration,0.24956420465974088,0.07737500970158648,51,.
2023,Population Density,0.08008561008768497,0.5764036664664713,51,ns
2023,Political Stability Index,-0.22532869104557707,0.11188068642313086,51,ns
2023,Household Size,-0.10866651221471545,0.44782432068058875,51,ns
2023,Vaccine Coverage 1st Dose (%),0.1119969838711384,0.43394641442431814,51,ns
2023,Vaccine Coverage 2nd Dose (%),0.08596327670530526,0.5486440484761222,51,ns
2023,Year,,,51,
