Year,Metric,Correlation,P-value,N,Significance
2012,GDP per Capita,0.3509698941278293,0.013414136917402578,49,*
2012,Health Expenditure (% GDP),0.20870624675186986,0.1501131876673465,49,ns
2012,Urban Population (%),0.07047765285514465,0.6303694602270231,49,ns
2012,Birth Rate,0.18396721286587406,0.20574282509276948,49,ns
2012,Net Migration,0.2740211882672221,0.056744099131520155,49,.
2012,Population Density,-0.039291869061624796,0.7886637145000928,49,ns
2012,Political Stability Index,-0.1480763867925808,0.3099211188672083,49,ns
2012,Household Size,-0.06084801829894231,0.6779034941391795,49,ns
2012,Vaccine Coverage 1st Dose (%),-0.18082242600069975,0.21373495877440207,49,ns
2012,Vaccine Coverage 2nd Dose (%),-0.15619329329519033,0.28384470292864317,49,ns
2012,Year,,,49,
2013,GDP per Capita,0.40439737868399617,0.0043613197428202495,48,**
2013,Health Expenditure (% GDP),0.350984456983137,0.014446533207622103,48,*
2013,Urban Population (%),0.15640289490923634,0.28842731204483,48,ns
2013,Birth Rate,0.007213802240304091,0.9611887717370797,48,ns
2013,Net Migration,0.5273656337199615,0.0001174463575930717,48,***
2013,Population Density,0.15857007665383807,0.2817146285389795,48,ns
2013,Political Stability Index,-0.11467155591921359,0.43769517749028697,48,ns
2013,Household Size,-0.17564969196349006,0.23241152891679218,48,ns
2013,Vaccine Coverage 1st Dose (%),-0.24640782685986234,0.09135253699908666,48,.
2013,Vaccine Coverage 2nd Dose (%),-0.12365263383670289,0.4024078044054459,48,ns
2013,Year,,,48,
2014,GDP per Capita,0.274510163687793,0.05628615369125002,49,.
2014,Health Expenditure (% GDP),0.13122605363984674,0.36877834808004306,49,ns
2014,Urban Population (%),0.06483868299483128,0.6580404334226859,49,ns
2014,Birth Rate,0.13401355891790812,0.35860414284552256,49,ns
2014,Net Migration,0.4620569877463508,0.0008311236454925697,49,***
2014,Population Density,0.004471519236255007,0.975674091528555,49,ns
2014,Political Stability Index,-0.05967165325623062,0.68380105550882,49,ns
2014,Household Size,-0.035877606882783276,0.8066587930803135,49,ns
2014,Vaccine Coverage 1st Dose (%),0.040704899462433886,0.7812474839961591,49,ns
2014,Vaccine Coverage 2nd Dose (%),0.02372882401045526,0.8714346028931075,49,ns
2014,Year,,,49,
2015,GDP per Capita,0.5064927157664864,6.807779726274883e-05,56,***
2015,Health Expenditure (% GDP),0.30577942755052573,0.021915508767393153,56,*
2015,Vaccine Hesitancy (%),0.11647494949628712,0.39262041201875275,56,ns
2015,Urban Population (%),0.14821799172811168,0.2756336679877907,56,ns
2015,Birth Rate,-0.030870854916168616,0.8213105604609565,56,ns
2015,Net Migration,0.46801567511636966,0.0002755173314849178,56,***
2015,Population Density,0.011261572873204884,0.9343479442694237,56,ns
2015,Political Stability Index,-0.02099379634387577,0.8779435217416329,56,ns
2015,Household Size,-0.1641043993437213,0.2268316533967975,56,ns
2015,Vaccine Coverage 1st Dose (%),-0.004298138867000709,0.9749194332230011,56,ns
2015,Vaccine Coverage 2nd Dose (%),0.11839164215174938,0.3848243429498509,56,ns
2015,Year,,,56,
2016,GDP per Capita,0.5028776108907262,4.9268719364478775e-05,59,***
2016,Health Expenditure (% GDP),0.2534912189004422,0.05271934450358629,59,.
2016,Urban Population (%),0.2660242099634819,0.04169944592278677,59,*
2016,Birth Rate,-0.02444850595579224,0.8541688446849577,59,ns
2016,Net Migration,0.40291429276236146,0.0015566948544354984,59,**
2016,Population Density,-0.0013204401073695744,0.9920807408925525,59,ns
2016,Political Stability Index,-0.01998666162518492,0.8805668478453124,59,ns
2016,Household Size,-0.16197411625367933,0.22033438241224282,59,ns
2016,Vaccine Coverage 1st Dose (%),0.022774318324930886,0.8640569728648975,59,ns
2016,Vaccine Coverage 2nd Dose (%),0.11627858630934912,0.3804741509811028,59,ns
2016,Year,,,59,
2017,GDP per Capita,0.35412550247517405,0.0055046536031817615,60,**
2017,Health Expenditure (% GDP),0.01860877781797249,0.8877728155722886,60,ns
2017,Urban Population (%),0.07852125854214222,0.5509411801667355,60,ns
2017,Birth Rate,-0.23101236686506638,0.07575289003975538,60,.
2017,Net Migration,0.22444218514764475,0.08470411573192294,60,.
2017,Population Density,-0.048613711643653086,0.7122342537662207,60,ns
2017,Political Stability Index,-0.18275979892559485,0.16221074445573597,60,ns
2017,Household Size,-0.3375379208679032,0.008353142845295904,60,**
2017,Vaccine Coverage 1st Dose (%),0.09197368374878757,0.4846007452003517,60,ns
2017,Vaccine Coverage 2nd Dose (%),-0.08306965510464204,0.5280332561518126,60,ns
2017,Year,,,60,
2018,GDP per Capita,0.20697860489171677,0.10650222435498718,62,ns
2018,Health Expenditure (% GDP),-0.217519741928703,0.08945175944657019,62,.
2018,Urban Population (%),-0.14417297581148336,0.2635801993188662,62,ns
2018,Birth Rate,-0.14925896936140146,0.24692601712660409,62,ns
2018,Net Migration,0.11126493040740476,0.3892660981665075,62,ns
2018,Population Density,0.058633806941302526,0.6507812390233927,62,ns
2018,Political Stability Index,-0.262804337415538,0.039052055468490145,62,*
2018,Household Size,-0.3072327533685505,0.015141182951579473,62,*
2018,Vaccine Coverage 1st Dose (%),0.0751442194560098,0.5616001151953686,62,ns
2018,Vaccine Coverage 2nd Dose (%),-0.00222299252530609,0.9863188228387153,62,ns
2018,Year,,,62,
2019,GDP per Capita,0.35307998841799293,0.004879967445601959,62,**
2019,Health Expenditure (% GDP),-0.1537898437915935,0.23270738731444396,62,ns
2019,Vaccine Hesitancy (%),-0.025949454680967116,0.8413228892372754,62,ns
2019,Urban Population (%),0.1670097953601933,0.194490859470314,62,ns
2019,Birth Rate,-0.302934503672402,0.01669770401399592,62,*
2019,Net Migration,0.22332460673951093,0.08102258784008158,62,.
2019,Population Density,0.0417881976000712,0.7470851474964404,62,ns
2019,Political Stability Index,0.03139161703773465,0.8086196280020651,62,ns
2019,Household Size,-0.29598535027130124,0.019503588952492545,62,*
2019,Vaccine Coverage 1st Dose (%),-0.4494412994669111,0.00024784558063386023,62,***
2019,Vaccine Coverage 2nd Dose (%),-0.2220353008302871,0.08283824079985733,62,.
2019,Year,,,62,
2020,GDP per Capita,0.24699824331587156,0.06159359100293694,58,.
2020,Health Expenditure (% GDP),0.13838407848399253,0.30022349985914704,58,ns
2020,Vaccine Hesitancy (%),0.11107955901970135,0.40647397935308693,58,ns
2020,Urban Population (%),-0.03193602124271197,0.811893801737757,58,ns
