Year,Metric,Correlation,P-value,N,Significance
2019,GDP per Capita,-0.4618747344926276,0.023078479533114028,24,*
2019,Vaccine Hesitancy (%),0.10425720702853737,0.6278091410370596,24,ns
2019,Urban Population (%),-0.08521739130434783,0.692169031649988,24,ns
2019,Birth Rate,0.6113043478260869,0.0015054217824644785,24,**
2019,Net Migration,-0.17652173913043476,0.4093032847915006,24,ns
2019,Population Density,-0.6521739130434783,0.0005535306808586614,24,***
2019,Political Stability Index,-0.4252173913043478,0.03832022472876961,24,*
2019,Household Size,0.2309700088006586,0.2775323238283443,24,ns
2019,Vaccine Coverage 1st Dose (%),-0.7983469178815114,2.938156741912646e-06,24,***
2019,Vaccine Coverage 2nd Dose (%),-0.5085024995281434,0.011171384780714196,24,*
2019,Year,,,24,
