Year,Metric,Correlation,P-value,N,Significance
2012,GDP per Capita,0.19190787067921636,0.35809720494194897,25,ns
2012,"Current Health Expenditure Per Capita, Ppp (Current International $)",0.14241728623406866,0.4970715101175036,25,ns
2012,Urban Population (%),-0.3153846153846154,0.12461471985396826,25,ns
2012,Birth Rate,0.2723076923076923,0.18787807204245663,25,ns
2012,Net Migration,0.21923076923076923,0.29238141281731655,25,ns
2012,Population Density,-0.4076923076923077,0.043077118260726716,25,*
2012,Political Stability Index,-0.4715384615384615,0.01733383490004233,25,*
2012,Household Size,0.4428626722580494,0.02662033158000313,25,*
2012,Vaccine Coverage 1st Dose (%),-0.3466207655149628,0.0896094715240501,25,.
2012,Vaccine Coverage 2nd Dose (%),-0.6042460299315734,0.0013794757676338113,25,**
2012,Year,,,25,
2013,GDP per Capita,0.07103957876596367,0.7415058599612796,24,ns
2013,"Current Health Expenditure Per Capita, Ppp (Current International $)",-0.08568943018703784,0.6905458547397265,24,ns
2013,Urban Population (%),0.006088280204808325,0.9774753056523512,24,ns
2013,Birth Rate,0.20700152696348306,0.3317840883810981,24,ns
2013,Net Migration,-0.021308980716829143,0.9212730221991137,24,ns
2013,Population Density,-0.5962165829137296,0.002106627986561454,24,**
2013,Political Stability Index,-0.5231572204560296,0.008709516128050092,24,**
2013,Household Size,0.4328910261222711,0.034607140523736264,24,*
2013,Vaccine Coverage 1st Dose (%),-0.4983678972936604,0.013189219041152599,24,*
2013,Vaccine Coverage 2nd Dose (%),0.18840516644517527,0.3779640359748979,24,ns
2013,Year,,,24,
2014,GDP per Capita,0.12362590126083697,0.5560293721098579,25,ns
2014,"Current Health Expenditure Per Capita, Ppp (Current International $)",-0.14054682642966856,0.5027971800640217,25,ns
2014,Urban Population (%),-0.1274302803883898,0.5438412192943255,25,ns
2014,Birth Rate,0.4866219770722801,0.013634556187248776,25,*
2014,Net Migration,0.11318580795826769,0.5900995146043546,25,ns
2014,Population Density,-0.46698770426319286,0.018598544073967986,25,*
2014,Political Stability Index,-0.6402312878727862,0.0005667168941266849,25,***
2014,Household Size,0.4174851457292998,0.0378509928783677,25,*
2014,Vaccine Coverage 1st Dose (%),-0.6101695367954937,0.0012002735292725609,25,**
2014,Vaccine Coverage 2nd Dose (%),-0.3156642661227481,0.12426275607273307,25,ns
2014,Year,,,25,
2015,GDP per Capita,0.06492390135792596,0.763109778124244,24,ns
2015,"Current Health Expenditure Per Capita, Ppp (Current International $)",0.02174385787431545,0.9196713577661073,24,ns
2015,Vaccine Hesitancy (%),0.04170288281141495,0.8465839182426907,24,ns
2015,Urban Population (%),-0.013913043478260868,0.9485530177017847,24,ns
2015,Birth Rate,0.3278260869565217,0.11785162108888597,24,ns
2015,Net Migration,-0.004347826086956522,0.9839134567350358,24,ns
2015,Population Density,-0.6495652173913044,0.000592587629355936,24,***
2015,Political Stability Index,-0.33304347826086955,0.11177657698587248,24,ns
2015,Household Size,0.45324058224159375,0.026128897795313723,24,*
2015,Vaccine Coverage 1st Dose (%),-0.2998260491493742,0.15461379752816784,24,ns
2015,Vaccine Coverage 2nd Dose (%),-0.21213991722824196,0.3196505873033908,24,ns
2015,Year,,,24,
2016,GDP per Capita,0.07407424987145915,0.7308545584640962,24,ns
2016,"Current Health Expenditure Per Capita, Ppp (Current International $)",0.040008698488740425,0.8527487652125967,24,ns
2016,Vaccine Hesitancy (%),0.06255432421712243,0.7715277405750074,24,ns
2016,Urban Population (%),0.05826086956521739,0.7868436161547347,24,ns
2016,Birth Rate,0.14869565217391303,0.48803379955072457,24,ns
2016,Net Migration,0.0008695652173913043,0.9967824967252694,24,ns
2016,Population Density,-0.4356521739130434,0.033343241979290644,24,*
2016,Political Stability Index,-0.07478260869565216,0.7283751615575544,24,ns
2016,Household Size,0.3179643623978935,0.1299862662498517,24,ns
2016,Vaccine Coverage 1st Dose (%),-0.16844406054986577,0.4314000417769236,24,ns
2016,Vaccine Coverage 2nd Dose (%),-0.014630339119189099,0.9459043268446818,24,ns
2016,Year,,,24,
2017,GDP per Capita,-0.018300697027066378,0.932360421634832,24,ns
2017,"Current Health Expenditure Per Capita, Ppp (Current International $)",0.03913043478260869,0.855947935071337,24,ns
2017,Urban Population (%),0.07565217391304348,0.7253351223309568,24,ns
2017,Birth Rate,0.07826086956521738,0.7162392905010877,24,ns
2017,Net Migration,-0.09565217391304347,0.6566056616723346,24,ns
2017,Population Density,-0.3069565217391304,0.1445678681051738,24,ns
2017,Political Stability Index,-0.5078260869565216,0.011297601785925497,24,*
2017,Household Size,0.36624622864435885,0.078374264370045,24,.
2017,Vaccine Coverage 1st Dose (%),-0.41699445368815535,0.042641243395344926,24,*
2017,Vaccine Coverage 2nd Dose (%),-0.3316839688129323,0.11333694971208866,24,ns
2017,Year,,,24,
2018,GDP per Capita,0.03267981611976139,0.8795093914733858,24,ns
2018,"Current Health Expenditure Per Capita, Ppp (Current International $)",-0.13565217391304346,0.5273785419058558,24,ns
2018,Urban Population (%),0.033913043478260865,0.8749966229566861,24,ns
2018,Birth Rate,0.44,0.03142771515017861,24,*
2018,Net Migration,0.023478260869565212,0.9132865779270147,24,ns
2018,Population Density,-0.44260869565217387,0.030321189497146267,24,*
2018,Political Stability Index,-0.34521739130434775,0.09849909879561232,24,.
2018,Household Size,0.38538498643575053,0.06291583148104542,24,.
2018,Vaccine Coverage 1st Dose (%),-0.46766873386500846,0.02119765773980909,24,*
2018,Vaccine Coverage 2nd Dose (%),-0.40146181415036086,0.05184042148202701,24,.
2018,Year,,,24,
2019,GDP per Capita,-0.4618747344926276,0.023078479533114028,24,*
2019,"Current Health Expenditure Per Capita, Ppp (Current International $)",-0.47043478260869553,0.020344586936490456,24,*
2019,Vaccine Hesitancy (%),0.10425720702853737,0.6278091410370596,24,ns
2019,Urban Population (%),-0.08521739130434783,0.692169031649988,24,ns
2019,Birth Rate,0.6113043478260869,0.0015054217824644785,24,**
2019,Net Migration,-0.17652173913043476,0.4093032847915006,24,ns
2019,Population Density,-0.6521739130434783,0.0005535306808586614,24,***
2019,Political Stability Index,-0.4252173913043478,0.03832022472876961,24,*
2019,Household Size,0.2309700088006586,0.2775323238283443,24,ns
2019,Vaccine Coverage 1st Dose (%),-0.7983469178815114,2.938156741912646e-06,24,***
2019,Vaccine Coverage 2nd Dose (%),-0.5085024995281434,0.011171384780714196,24,*
2019,Year,,,24,
2020,GDP per Capita,-0.5437921402328295,0.006020062800675148,24,**
2020,"Current Health Expenditure Per Capita, Ppp (Current International $)",-0.3695652173913043,0.07550604515168588,24,.
2020,Vaccine Hesitancy (%),0.09777017035466454,0.649471698508767,24,ns
2020,Urban Population (%),-0.1026086956521739,0.6332868165639749,24,ns
2020,Birth Rate,0.6017391304347826,0.0018664011338972051,24,**
2020,Net Migration,-0.20173913043478262,0.3444930314073976,24,ns
2020,Population Density,-0.49652173913043474,0.013587180235989135,24,*
2020,Political Stability Index,-0.4495652173913043,0.027521911769761136,24,*
2020,Household Size,0.35406701914074595,0.08960910207706765,24,.
2020,Vaccine Coverage 1st Dose (%),-0.5954763503730728,0.00214074442667944,24,**
2020,Vaccine Coverage 2nd Dose (%),-0.3877441458009869,0.06118573671155273,24,.
2020,Year,,,24,
2021,GDP per Capita,-0.4797397006380972,0.01767680288223791,24,*
2021,"Current Health Expenditure Per Capita, Ppp (Current International $)",-0.19652173913043475,0.35737406951590356,24,ns
2021,Vaccine Hesitancy (%),0.19060304155705626,0.37232262167491736,24,ns
2021,Urban Population (%),-0.11913043478260868,0.579275902008125,24,ns
2021,Birth Rate,0.7253750986871633,6.0534451745353446e-05,24,***
2021,Net Migration,-0.3878260869565217,0.06112631008008123,24,.
2021,Population Density,-0.5217391304347825,0.008926065916873628,24,**
2021,Political Stability Index,-0.5356521739130434,0.006983184749703951,24,**
2021,Household Size,0.41931278433867214,0.041386034253327854,24,*
2021,Vaccine Coverage 1st Dose (%),-0.5959952841102243,0.0021167785253601353,24,**
2021,Vaccine Coverage 2nd Dose (%),-0.5766490138281116,0.003181138776807268,24,**
2021,Year,,,24,
2022,GDP per Capita,-0.13795786687381417,0.5107755505077425,25,ns
2022,"Current Health Expenditure Per Capita, Ppp (Current International $)",-0.04461538461538461,0.8322932787592981,25,ns
2022,Vaccine Hesitancy (%),0.1944531245836927,0.35163498235008805,25,ns
2022,Urban Population (%),0.2353846153846154,0.25735102431277707,25,ns
2022,Birth Rate,0.27692307692307694,0.1802089385790167,25,ns
2022,Net Migration,-0.1450278926616026,0.4891347337851981,25,ns
2022,Population Density,-0.3553846153846154,0.08126735918803056,25,.
2022,Political Stability Index,-0.39999999999999997,0.04756800106987493,25,*
2022,Household Size,0.6325510279689255,0.0006915663064801493,25,***
2022,Vaccine Coverage 1st Dose (%),-0.341867338322931,0.09439489810707771,25,.
2022,Vaccine Coverage 2nd Dose (%),-0.3804209742608118,0.06066059109896342,25,.
2022,Year,,,25,
2023,GDP per Capita,-0.43699503082375774,0.02894168168652058,25,*
2023,Vaccine Hesitancy (%),-0.00550610244902004,0.979160702361512,25,ns
2023,Urban Population (%),-0.005384615384615384,0.9796204078469652,25,ns
2023,Birth Rate,0.5446153846153846,0.004879812185468513,25,**
2023,Net Migration,0.03654549019324203,0.862313444929844,25,ns
2023,Population Density,-0.3376923076923077,0.09875341756240204,25,.
2023,Political Stability Index,-0.5346153846153846,0.005900861073159648,25,**
2023,Household Size,0.3328203401418008,0.10402694917343121,25,ns
2023,Vaccine Coverage 1st Dose (%),-0.5255055369491,0.006981694440595634,25,**
2023,Vaccine Coverage 2nd Dose (%),-0.4100098145427044,0.04179179085075433,25,*
2023,Year,,,25,
2024,GDP per Capita,-0.2830655504701128,0.17034275022403464,25,ns
2024,Vaccine Hesitancy (%),-0.03962269048731629,0.8508419931693512,25,ns
2024,Urban Population (%),-0.26153846153846155,0.20663834320215319,25,ns
2024,Net Migration,-0.07153846153846154,0.7339954015507332,25,ns
2024,Household Size,0.4740285075776862,0.016672153563878647,25,*
2024,Vaccine Coverage 1st Dose (%),-0.4277464587428316,0.032927857370120314,25,*
2024,Vaccine Coverage 2nd Dose (%),-0.4812321766933149,0.014873424170203159,25,*
2024,Year,,,25,
2025,Household Size,0.2557633995758706,0.22770906822293566,24,ns
2025,Year,,,24,
