Year,Metric,Correlation,P-value,N,Significance
2012,GDP per Capita,-0.08823589740619457,0.29639432765613183,142,ns
2012,Health Expenditure (% GDP),-0.01951389501263023,0.9036140531352396,41,ns
2012,Urban Population (%),-0.1590389115895233,0.05352095922493228,148,.
2012,Birth Rate,0.25850987188667307,0.0015121318242431855,148,**
2012,Net Migration,0.07003452984426814,0.39927859591637616,147,ns
2012,Population Density,-0.13000647907898316,0.11528456405596545,148,ns
2012,Political Stability Index,-0.3201944682384227,7.270043437326493e-05,148,***
2012,Household Size,0.12316266056890235,0.1643639018146241,129,ns
2012,Vaccine Coverage 1st Dose (%),-0.33987793159599305,2.2278127640340465e-05,149,***
2012,Vaccine Coverage 2nd Dose (%),-0.20571330977482727,0.03903784753803164,101,*
2013,GDP per Capita,-0.017412955576750076,0.8370401898125499,142,ns
2013,Health Expenditure (% GDP),0.05466310435832196,0.734275067000109,41,ns
2013,Urban Population (%),-0.041416062037468386,0.6196519118923067,146,ns
2013,Birth Rate,0.16509154176422347,0.04644262394067054,146,*
2013,Net Migration,0.16147615535604026,0.05233661124440845,145,.
2013,Population Density,-0.009498651377424734,0.9094053207514429,146,ns
2013,Political Stability Index,-0.3689623919251388,4.592013725163268e-06,146,***
2013,Household Size,0.0737254649718461,0.41008118928896975,127,ns
2013,Vaccine Coverage 1st Dose (%),-0.3348064764697006,3.3991950635147e-05,147,***
2013,Vaccine Coverage 2nd Dose (%),-0.15566620917721175,0.11280910791550089,105,ns
2014,GDP per Capita,-0.11376198479636927,0.17007144163791188,147,ns
2014,Health Expenditure (% GDP),-0.18539596526415136,0.2173746664124221,46,ns
2014,Urban Population (%),-0.22770407932024062,0.004782793218289745,152,**
2014,Birth Rate,0.20847269288789722,0.009954958169366897,152,**
2014,Net Migration,0.09339149610322789,0.25404801580656305,151,ns
2014,Population Density,-0.14476318304291133,0.07517215173074203,152,.
2014,Political Stability Index,-0.273800557165712,0.0006419584048987892,152,***
2014,Household Size,0.1577546710783598,0.06764579552498488,135,.
2014,Vaccine Coverage 1st Dose (%),-0.36841854536143026,2.7914220846065854e-06,153,***
2014,Vaccine Coverage 2nd Dose (%),-0.16284422456787748,0.08071191691107676,116,.
2015,GDP per Capita,-0.10376657087584108,0.18071942726821769,168,ns
2015,Health Expenditure (% GDP),0.09602106255100978,0.5071168947408005,50,ns
2015,Vaccine Hesitancy (%),0.1644297707715969,0.19416034388539363,64,ns
2015,Urban Population (%),-0.17086327168022217,0.024183656129148773,174,*
2015,Birth Rate,0.23259904835861614,0.0020113495100871123,174,**
2015,Net Migration,0.0007344850784060771,0.992347918886537,173,ns
2015,Population Density,-0.18666950471778299,0.013651318149441144,174,*
2015,Political Stability Index,-0.310458449481784,3.056677069883763e-05,174,***
2015,Household Size,0.2286771950216849,0.00420995204022654,155,**
2015,Vaccine Coverage 1st Dose (%),-0.21415029351671472,0.004547268385718144,174,**
2015,Vaccine Coverage 2nd Dose (%),-0.013171670316483475,0.8776916956087061,139,ns
2016,GDP per Capita,-0.17614141075547904,0.021194497871476186,171,*
2016,Health Expenditure (% GDP),0.10806524411874245,0.44572376740861885,52,ns
2016,Vaccine Hesitancy (%),0.6179143806533246,0.1910939016901931,6,ns
2016,Urban Population (%),-0.15910088240739373,0.03441337963972468,177,*
2016,Birth Rate,0.31469999670130167,1.9896803407556913e-05,177,***
2016,Net Migration,0.08980054448382813,0.2359201498178077,176,ns
2016,Population Density,-0.08205034639771705,0.2776089273951431,177,ns
2016,Political Stability Index,-0.3197524725940797,1.43566714418066e-05,177,***
2016,Household Size,0.2852312362879142,0.0003363471501660154,154,***
2016,Vaccine Coverage 1st Dose (%),-0.2423501448797541,0.0011540385444514382,177,**
2016,Vaccine Coverage 2nd Dose (%),-0.09649392957628189,0.24334344068724215,148,ns
2017,GDP per Capita,-0.060466731250956085,0.42801816499175016,174,ns
2017,Health Expenditure (% GDP),-0.01907290110306749,0.8932401536601735,52,ns
2017,Urban Population (%),-0.11403918272562728,0.1274302305536581,180,ns
2017,Birth Rate,0.09318457900237621,0.21342538547581907,180,ns
2017,Net Migration,-0.002015847311057925,0.9786341856769567,179,ns
2017,Population Density,-0.04287485038689246,0.5676730169169808,180,ns
2017,Political Stability Index,-0.3033723280392284,3.476098169560687e-05,180,***
