Metric,Correlation,P-value,Significance
Political Stability Index,-0.310458449481784,3.056677069883763e-05,***
Birth Rate,0.23259904835861614,0.0020113495100871123,**
Household Size,0.2286771950216849,0.00420995204022654,**
Vaccine Coverage 1st Dose (%),-0.21415029351671472,0.004547268385718144,**
Population Density,-0.18666950471778299,0.013651318149441144,*
Urban Population (%),-0.17086327168022217,0.024183656129148773,*
Vaccine Hesitancy (%),0.1644297707715969,0.19416034388539363,ns
GDP per Capita,-0.10376657087584108,0.18071942726821769,ns
Health Expenditure (% GDP),0.09602106255100978,0.5071168947408005,ns
Vaccine Coverage 2nd Dose (%),-0.013171670316483475,0.8776916956087061,ns
Net Migration,0.0007344850784060771,0.992347918886537,ns
