Metric,Correlation,P-value,Significance
Population Density,-0.6495652173913044,0.000592587629355936,***
Household Size,0.45324058224159375,0.026128897795313723,*
Political Stability Index,-0.33304347826086955,0.11177657698587248,ns
Birth Rate,0.3278260869565217,0.11785162108888597,ns
Vaccine Coverage 1st Dose (%),-0.2998260491493742,0.15461379752816784,ns
Vaccine Coverage 2nd Dose (%),-0.21213991722824196,0.3196505873033908,ns
GDP per Capita,0.06492390135792596,0.763109778124244,ns
Vaccine Hesitancy (%),0.04170288281141495,0.8465839182426907,ns
"Current Health Expenditure Per Capita, Ppp (Current International $)",0.02174385787431545,0.9196713577661073,ns
Urban Population (%),-0.013913043478260868,0.9485530177017847,ns
Net Migration,-0.004347826086956522,0.9839134567350358,ns
Year,,,
